Discipline,Effect,Description
Social Psychology,Superiority-of-unconscious decision-making effect,"* **Superiority-of-unconscious decision-making effect** (deliberation without attention effect). While conscious reflection produces better choices on simple tasks, complex choices “should be left to unconscious thought”.​"
Social Psychology,Behavioural-consequences-of-automatic-evaluation,"* **Behavioural-consequences-of automatic-evaluation **(affective compatibility effect).** **Automatic classification of stimuli as either good or bad have direct behavioural consequences.​ Automatic evaluation results directly in behavioural predispositions toward the stimulus, such that positive evaluations produce immediate approach tendencies, and negative evaluations produce immediate avoidance tendencies."
Social Psychology,Self-control relies on glucose effect,"* **Self-control relies on glucose effect. **Acts of self-control decrease blood glucose levels; low levels of blood glucose predict poor performance on self-control tasks; initial acts of self-control impair performance on subsequent self-control tasks, but consuming a glucose drink eliminates these impairments.   ** **"
Social Psychology,Physical warmth promotes interpersonal warmth,"Exposure to physical warmth will lead to more positive judgments of strangers and an increase in prosocial behaviour (e.g., gift-giving)."
Social Psychology,Power impairs perspective-taking effect,* **Power impairs perspective-taking effect. **Individuals made to feel high in power were more likely to inaccurately assume that others view the social world from the same perspective as they do.
Social Psychology,Status-legitimacy effect,"Members of low-status, disadvantaged, and marginalised groups are more likely to perceive their social systems as legitimate than their high-status and advantaged counterparts under certain circumstances. People who are most disadvantaged by the status quo, due to the greatest psychological need to reduce ideological dissonance, are most likely to support, defend, and justify existing social systems, authorities, and outcomes.​"
Social Psychology,Red impairs cognitive performance effect,"* **Red impairs cognitive performance**. The colour red impairs performance on achievement tasks, as red is associated with the danger of failure and evokes avoidance motivation."
Social Psychology,Reduced prosociality of high SES effect,Higher socioeconomic status predicts decreased prosocial behaviour. Affluence may be linked with reduced empathy and poverty may be linked with increased empathy.
Social Psychology,Moral licensing effect,"* **Moral licensing effect (**self-licensing, moral self-licensing, licensing effect) is the effect that acting in a moral way makes people more likely to excuse and perform subsequent immoral, unethical, or otherwise problematic behaviours."
Social Psychology,Colour on approach/avoidance,"Red (versus blue) colour induces primarily an avoidance (versus approach) motivation and enhances performance on a detail-oriented task, whereas blue enhances performance on a creative task.​"
Social Psychology,Playboy effect,* **Playboy Effect.** Men exposed to erotic images of the opposite-sex will report lower ratings of love for their partner and lower ratings for their partners sexual attractiveness compared to men exposed to abstract art. This effect was not found in women in either the original or replication attempts.
Social Psychology,Self-protective subjective temporal distance effect,"* **Self-protective subjective temporal distance effect. **Participants reported that negative events in their own lives felt farther away than positive events in their own lives, and this effect was stronger for participants higher in self-esteem."
Social Psychology,Trait loneliness hot shower effect,"People self-regulate their feelings of social warmth (connectedness to others) through applications of physical warmth of shower or bath, without explicit awareness of this substitution. Loneliness as a form of “social coldness” can be relieved by applying physical warmth."
Social Psychology,American flag priming boosts Republican support,"* **American flag priming boosts Republican support. **Subtle exposure to the American flag causes people to report more conservative, Republican beliefs and attitudes."
Social Psychology,Unethicality darkens perception of light,"* **Unethicality darkens perception of light **(El Greco fallacy). Recalling abstract concepts such as evil (as exemplified by unethical deeds) and goodness (as exemplified by ethical deeds) can influence the sensory experience of the brightness of light. Recalling unethical behaviour led participants to see the room as darker and to desire more light-emitting products (e.g., a flashlight) compared to recalling ethical behaviour."
Social Psychology,Fertility on voting,"* **Fertility on voting **(Ovulation effect). Ovulatory (or high-fertility) phase of the menstrual cycle affects voting preferences and has different effects on women who are single then women who are in committed relationships. Single women were more likely to vote for Barack Obama (liberal/Democrat candidate) if they were ovulating then if they were not, while the opposite was true for women in committed relationship – ovulation led them more likely to vote for Mitt Romney (conservative/Republican candidate).​"
Social Psychology,Modulation of 1/f noise on the weapon identification task,Making an effort to modulate the use of racial information decreases the emission of 1/f noise.
Social Psychology,Time is money effect,Putting a price on time can influence enjoyment of leisure activities as individuals get more impatient if they are compensated for engaging in these activities. ​
Social Psychology,Embodiment of secrets,"* **Embodiment of secrets** (secrets-as-burdens). Secrets are experienced as physical burdens, influencing how people perceive and act in the world.​ People who recalled, were preoccupied with, or suppressed an important secret estimated hills to be steeper and perceived distances to be farther."
Social Psychology,Warmer-hearts-warmer-room effect,* **Warmer-hearts-warmer-room effect. **Priming “warm” communal traits (vs. other traits) led participants to report that the room in which they were taking the study was warmer.
Social Psychology,Treating-prejudice-with-imagery effect,Imagining a positive encounter with a member of a stigmatised group promote positive perceptions when it was preceded by imagined negative encounter.​
Social Psychology,Grammar influences perceived intentionality effect,* **Grammar influences perceived intentionality**. Describing a person's behaviours in terms of what the person _was doing _(rather than what the person _did_) enhances intentionality attributions in the context of both mundane and criminal behaviors.​ Participants judged actions described in the imperfective as being more intentional and they imagined these actions in more detail.
Social Psychology,Attachment-warmth embodiment effect,* **Attachment-warmth embodiment effect** (anxious attachment warm food effect) Attachment anxiety positively predicts sensitivity to temperature cues.​ Individuals with high (but not low) attachment anxiety report higher desires for warm foods (but not neutral foods) when attachment is activated.
Social Psychology,Superstition boosts performance effect,"The irrational belief that certain objects (e.g., lucky charms) or beliefs (e.g., religion) will benefit performance in a task.​"
Social Psychology,Social and personal power,"Social power (power over other people) and personal power (freedom from other people) have opposite associations with independence and interdependence; they have opposite effects on stereotyping (social power decreases and personal power increases stereotyping), but parallel effects on behavioural approach (both types of power increase it)."
Social Psychology,Classical anchoring effect,* **Classical anchoring effect** (anchoring and adjustment). Assimilation of numeric estimates toward previously considered numeric values. ​
Social Psychology,Incidental environmental anchoring effect,"* **Incidental Environmental Anchoring** (incidental anchoring [[Critcher & Gilovich, 2008]](https://doi.org/10.1002/bdm.586), basic anchoring [[Wilson, Houston, Etling, & Brekke, 1996]](https://doi.org/10.1037//0096-3445.125.4.387) “Anchor values that are incidentally present in the environment can affect a person’s numerical estimates (...) these effects were not qualified by participants’ expertise in the relevant domain (study 1) or by their ability to subsequently recall the anchor value (study 3).” (Critcher & Gilovich, 2008)."
Social Psychology,Subliminal anchoring effect,"* **Subliminal anchoring effect** (subliminal anchoring). Numeric estimates are biassed toward previously, subliminally presented numbers that could not be perceived by respondents.​"
Social Psychology,Facial Colours and perceived emotions,"* **Facial redness increased perceived anger.** When people rate faces and these are red, rated anger is positively associated with the faces’ redness.​"
Social Psychology,Romeo and Juliet effect,"* **Romeo and Juliet effect. **Greater love and commitment towards a romantic partner when others (e.g., parents, friends) are observed to interfere with, or disapprove of, the relationship.​"
Social Psychology,Stereotype activation effect,Judgments of targets that follow gender-congruent primes are made faster than judgments of targets that follow gender-incongruent primes.​
Social Psychology,Sex difference in distress to infidelity,"Men, compared to women, are more distressed by sexual than emotional infidelity, and this sex difference continued into older age.​"
Social Psychology,Content effect for cheater detection,* **Content effect for cheater detection. **There is a performance improvement on the Wason selection task if it involves cheater detection. College students were better able to complete the selection task for unfamiliar scenarios if it involved detecting a cheater instead of a descriptive scenario.
Social Psychology,Dissenting deviant social rejection effect,Groups reject opinion deviates from future interaction.
Social Psychology,Sex differences in implicit maths attitudes,"College students, especially women, demonstrated negativity toward maths and science relative to arts and language on implicit measures.​"
Social Psychology,Low versus high category scale effect on behaviour self – report,"* **Low versus high category scale effect on behaviour self-report**. Response scales serve informative functions. The response categories suggest a range of ""usual"" or ""expected"" behaviours, and this information affects respondents' behavioural reports as well as related judgments."
Social Psychology,Information source on attitudes effect,The source of information has a major impact on how that information is perceived and evaluated.
Social Psychology,Door-in-the-face effect,* **Door-in-the-face effect.** The door-in-the-face effect occurs when making a larger initial request and then afterwards scaling back and asking a more moderate request increases compliance (with the moderate request) compared to either starting with the moderate request or starting with a small request.
Social Psychology,Foot-in-the-door effect,* **Foot-in-the-door effect. **The foot-in-the-door effect occurs when getting people to comply with a very small initial request increases the likelihood that they will agree to a larger request (compared to starting with the larger request).
Social Psychology,Ingroup-outgroup norm of reciprocity effect,"“When confronted with a decision about allowing or denying the same behaviour to an ingroup and outgroup, people may feel an obligation to reciprocity, or consistency in their evaluation of the behaviours.”"
Social Psychology,Social dominance-status,"* **Social dominance-status **(verticality effects). Vertical dimension of human relations (such as dominance and submission) and nonverbal behaviour are intimately and fruitfully linked; nonverbal behaviour, such as gazing, smiling, touching, and various body positions can signal high and low verticality."
Social Psychology,Personal cognitive dissonance - free-choice paradigm,"Personal cognitive dissonance, from the cognitive dissonance theory (Festinger, 1957), suggests that an inconsistency between two cognitions (e.g., an attitude and a past behaviour) creates an unpleasant psychological state (i.e., personal dissonance) that the individual is motivated to reduce (e.g., by changing one of the elements to fit the other). This personal cognitive dissonance has been studied in the literature through different paradigms, including the following three main ones: free-choice, induced-compliance and induced-hypocrisy paradigm. The mere act of choosing equally desirable options can arouse dissonance in the individual, because choosing option A implies the rejection of option B (in other words, choosing option A means accepting its advantages but also its disadvantages, but also accepting to deprive oneself of the advantages of option B). In order to reduce dissonance, subjects will increase the perceived gap between options (i.e., spreading of alternatives) by overestimating the chosen option and/or underestimating the rejected option. ​"
Social Psychology,Personal cognitive dissonance - induced-compliance paradigm,"In this paradigm, subjects are led to perform, in a context of free choice, an inconsistent act with their own norms or social norms (e.g., agree to perform a counter-attitudinal act). Dissonance can be resolved through multiple modes of reduction (e.g., social support, trivialization, etc.), but attitude change remains the most studied mode of reduction.​"
Social Psychology,Personal cognitive dissonance - induced-hypocrisy paradigm,"* **Personal cognitive dissonance - Induced-hypocrisy paradigm**. In this paradigm, dissonance is aroused by making individuals aware of the discrepancy between a socially desirable behaviour (e.g., not wasting water; stage 1: normative commitment phase) and their own past transgressive behaviours (e.g., remembering one's past water waste; stage 2: transgression salience phase). Most of the dissonance reduction work is done through behavioural means, and leads subjects to express behavioural intentions, and/or perform behaviours in the direction of the socially desirable behaviours expressed in step 1 (i.e., allowing for the reduction of the inconsistency between the norm, step 1, and the recall of transgressions, step 2).​"
Social Psychology,Vicarious cognitive dissonance - induced-compliance paradigm,"Vicarious cognitive dissonance, from the cognitive dissonance theory (Festinger, 1957; see “personal cognitive dissonance”), suggests that it would be possible for an individual to experience dissonance vicariously when they witness the performance of inconsistent act (e.g., counter-attitudinal or counter-normative behaviour) on the part of an in-group member with whom they strongly identify. As a personal cognitive dissonance, the inconsistency between two cognitions (e.g., between attitude and observed behaviour) creates an unpleasant psychological state (i.e., vicarious dissonance) that the individual is motivated to reduce (e.g., by changing one of the elements to fit the other). This vicarious cognitive dissonance has been studied in the literature through different paradigms, including the following two main ones: induced-compliance and induced-hypocrisy paradigm. In this paradigm, subjects are led to observe the realisation, by a member of their in-group, of a counter-attitudinal act with their own norms or social norms (e.g., agree to perform a counter-attitudinal act), performed in a context of free choice. Dissonance can be resolved through multiple modes of reduction (e.g., social support, trivialization, ect.), but attitude change remains the most studied mode of reduction.​"
Social Psychology,Vicarious cognitive dissonance - induced hypocrisy paradigm,"* **Vicarious cognitive dissonance - Induced-hypocrisy paradigm**. In this paradigm, subjects are made to observe a member of their group becoming aware of the discrepancy between a socially desirable behaviour (e.g., not wasting water; stage 1: normative commitment phase) and their own past transgressive behaviours (e.g., remembering one's past water waste; stage 2: transgression salience phase). Most of the dissonance reduction work is done through behavioural means, and leads subjects to express behavioural intentions, and/or perform behaviours in the direction of the socially desirable behaviours expressed in step 1 (i.e., allowing for the reduction of the inconsistency between the norm, step 1, and the recall of transgressions, step 2).​"
Social Psychology,Impostor phenomenon,"* **Imposter phenomenon**. People who perform outstandingly both academically and professionally believe that in fact, they are not really bright and that they have fooled anyone who thinks otherwise. This phenomenon might be especially persistent in women. Key conclusion: Therapeutic interventions might help to overcome imposter syndrome."
Social Psychology,Ability Emotional Intelligence as a Second Stratum Factor of Intelligence,"* **Ability EI as a factor of intelligence. **Ability EI is a collection of cognitive abilities relating to the recognition, understanding and management of emotions. There have been many controversies in attempting to contextualise Ability EI within models of intelligence/cognitive ability. MacCann et al. (2014) empirically tested multiple models of how various cognitive abilities interact, including hierarchical and bi-factor models, and the data demonstrated closest fit to a hierarchical structure where Ability EI was contextualised as a second-stratum factor. A recent replication repeated this modelling process and drew the same conclusion."
Social Psychology,Matilda effect,* **Matilda effect **(Matthew Matilda effect)**.** Male scientists and masculine topics are frequently perceived as demonstrating higher scientific quality.
Social Psychology,Being slightly behind increases chance of winning,* **Being slightly behind increases the chance of winning.** The original study has found that being slightly behind at halftime increases the chance of winning significantly in professional Basketball.​
Social Psychology,Ethnoracial diversity and trust,* **Ethnoracial diversity and trust.** Ethnoracial diversity negatively affects trust and social capital.
Social Psychology,Greed moderates relationship between SES and unethical behaviour,"* **Greed moderates the relationship between SES and unethical behaviour.** The original study found that people of higher socio-economic status are more likely to engage in unethical behaviour, but that this relationship is moderated by greed. When study participants were primed to think positively about greed, those of lower SES became more likely to engage in unethical behaviour than those of higher SES."
Social Psychology,Women’s education increasing domestic violence,* **Women’s education increases domestic violence.** Women with more education report higher levels of psychological violence at home​.
Social Psychology,Easterlin paradox,"* **Easterlin paradox.** (national income associated with happiness). When comparing across countries, higher levels of income are associated with higher levels of subjective well-being, yet this association does not show up across time."
Social Psychology,Humour style clusters,"* **Humour style clusters. **A number of works have attempted to determine whether individuals can be categorised into different types of humour user. The first was by Galloway (2010) and suggested four types of humour user through use of cluster analysis: (1) above average on all of the styles, or (2) below average on all of the styles, or (3) above average on the positive styles (Affiliative and Self-enhancing), and below average on the negative styles (Aggressive and Self-defeating), or (4) above average on the negative styles and below average on the positive styles."
Social Psychology,Social referencing effect,"* **Social referencing effect:** Crosby et al. (2008) found that hearing an offensive remark caused subjects to look longer at a potentially offended person, but only if that person could hear the remark. On the basis of this result, they argued that people use social referencing to assess the offensiveness."
Social Psychology,Other-race effect,"* **Other-race effect** (cross-race effect, own-race bias). Humans are better at distinguishing between faces of two individuals of their own race than two faces of another race."
Social Psychology,Unethical amnesia,* **Unethical amnesia. **Memories of unethical behaviour are less clear and vivid than memories of good deeds.​​
Social Psychology,Feeling dirty after networking,"People feel uncomfortable networking because networking triggers a state of “moral impurity,” which translates into feelings of “dirtiness” and a heightened desire for “cleansing”."
Social Psychology,Public exposure influences shame/guilt differently,* **Public exposure influences shame and guilt differently. **Public exposure (implicit and explicit) of transgression increases experienced shame more than guilt.
Social Psychology,Drunk utilitarian,People are more likely to accept harm for the greater good when they are under the influence of alcohol.
Social Psychology,Beauty is good stereotype in autistic individuals,* **Beauty is good stereotype in autistic individuals. **Autistic individuals judge faces on beauty as well as neurotypical individuals.
Social Psychology,Cognitive ability and prejudice,Lower cognitive ability is associated with higher prejudice towards minority groups.​
Social Psychology,Reading and theory of mind,"Reading fiction improves social cognition, i.e. understanding of others’ cognitive and emotional states. ​"
Social Psychology,Morning morality effect,"Normal, unremarkable experiences associated with everyday living can deplete one’s capacity to resist moral temptations. People were more likely to lie and cheat in the afternoon than in the morning.​"
Social Psychology,Power pose,"* **Power pose.** Taking on a power pose lowers cortisol and risk tolerance, while it raises testosterone and feelings of power."
Social Psychology,Facial Feedback,"* **Facial Feedback.** Smiling causes a good mood, while pouting produces a bad mood."
Social Psychology,Positive affirmation on mood,* **Positive affirmation on mood. **Positive self-statements boost mood for people with high self-esteem and reduce mood for people with low self-esteem.
Social Psychology,Mindfulness for mental health,"Mindfulness, the practice of paying attention to the present moment in a non-judgemental way, is thought to have a beneficial effect on mental health outcomes, including but not limited to helping individuals reduce stress and anxiety and manage emotional states more effectively"
Social Psychology,Grit and Well-being,"Grittier people, those pursuing long-term goals with perseverance and passion, have greater subjective well-being."
Social Psychology,Verbal overshadowing effect,"* **Verbal overshadowing effect. **In a series of six experiments, verbalising the appearance of previously seen visual stimuli impaired subsequent recognition performance."
Social Psychology,Age of acquisition effects - influence on free recall (pure block),* **Age of acquisition effects - influence on free recall (pure block).  **Early-acquired items are recalled more accurately than late-acquired items when early-acquired items are presented in a separate block and late-acquired items are presented in a separate block.
Social Psychology,Age of acquisition effects - influence on free recall (mixed block),* **Age of acquisition effects - influence on free recall (mixed block). **Early-acquired items are recalled more accurately than late-acquired items when early-acquired items are mixed with late-acquired items in a block.
Social Psychology,Age of acquisition effects - influence on recognition (mixed block),* **Age of acquisition effects - influence on recognition (mixed block). **Early-acquired items are recalled more accurately than late-acquired items.
Social Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (progressive demasking),"* **Age of acquisition influences the pre-conceptual stages of lexical retrieval (progressive demasking). **Early-acquired items are identified more accurately than late-acquired items, using a progressive demasking task. A progressive demasking task is a type of perceptual identification task where participants are presented with a series of words that are gradually revealed over time and their ability to identify words at each stage of the task is measured. Words learned at an earlier age are thought to be easier to demask than those learned later in life, perhaps because the individual has gained more experience and exposure to the word, which can make it easier to recognize."
Social Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (object decision),* **Age of acquisition influence on the pre-conceptual stages of lexical retrieval (object decision). **The age at which one acquires the concept of  an object does not contribute to the speed and accuracy of recognising whether an object is a real object or not a real world object that has chimeric features.
Social Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (anagram solution),"* **Age of acquisition influence on the pre-conceptual stages of lexical retrieval (anagram solution). **Age of acquisition is thought to affect lexical retrieval through its impact on anagram (word jumbles) solutions, such that words acquired at an earlier age tend to be solved more quickly and accurately in anagram tasks than those learned later in life. This may be because words learned earlier in life are more deeply encoded and may therefore be more easily accessed."
Social Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (visual duration threshold),"* **Age of acquisition influence on the pre-conceptual stages of lexical retrieval (visual duration threshold). **Early-acquired items are identified more accurately than late-acquired items, using visual duration threshold task."
Social Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (category verification),"* **Age of acquisition influence on the pre-conceptual stages of lexical retrieval (category verification). **The age at which one acquires an object does not contribute to the speed and accuracy of category verification during a semantic categorisation task (where objects have to be decided whether they represent one group or another, e.g. tools vs. furniture)."
Social Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (category falsification),"* **Age of acquisition influence on the pre-conceptual stages of lexical retrieval (category falsification). **The age at which one acquires the name of an object object does not contribute to the speed and accuracy of category falsification (i.e. deciding that a different word and the picture of the acquired concept do not match; e.g. the picture of the acquired concept of a rabbit, paired with the non-matching word “mouse”)."
Social Psychology,Age of acquisition influence on face recognition,* **Age of acquisition influence on face recognition. **Early-acquired faces are recognised more quickly and accurately than late-acquired faces.
Social Psychology,Age of acquisition influence on familiarity decision,* **Age of acquisition influence on face familiarity decision. **Early-acquired faces are recognised as familiar faces more quickly than late-acquired faces when the task is to discriminate between familiar and unfamiliar faces.
Social Psychology,Age of acquisition influence on face gender decision,"* **Age of acquisition influence on face gender decision. **The age at which  a celebrity face is acquired does not affect the speed to recognise a celebrity’s face, using a gender decision task (is this face male or female?)."
Social Psychology,Age of acquisition influence on semantic decision,* **Age of acquisition influence on semantic decision. **Early-acquired semantic concepts are categorised more quickly and accurately than later acquired concepts.
Social Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque languages),"* **Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French)."
