Discipline,Effect,Description,Critique,Link,doi,Notes,Citations,N critique
Social Psychology,Commitment priming (recall),Participants exposed to a high-commitment prime would exhibit greater forgiveness,Cheung et al. 2016,https://journals.sagepub.com/doi/pdf/10.1177/1745691616664694,10.1177/1745691616664694,"n = 2284,","110 (GS, November 2021)",2284
Social Psychology,Mortality Salience,"Death Priming/Terror Management Theory). Reminders of death lead to subconscious changes in attitudes and behaviour, for example in the form of increased in-group bias and behaviour that serves to defend an individual’s cultural worldview",Burke et al. 2010,https://journals.sagepub.com/doi/abs/10.1177/1088868309352321?casa_token=6qU7Bbt0sNcAAAAA:PLGOSUy673fGIk7ji8h0zex6uh35R7FPx8SE4sI4ADMwCU80b5BqrJGDBWmu8gFh-_JhufRz63ql_Q,10.1177/1088868309352321?casa_token=6qU7Bbt0sNcAAAAA:PLGOSUy673fGIk7ji8h0zex6uh35R7FPx8SE4sI4ADMwCU80b5BqrJGDBWmu8gFh-_JhufRz63ql_Q,"k=277,","1,497 (GS, March 2023)",
Social Psychology,Mortality Salience,"Death Priming/Terror Management Theory). Reminders of death lead to subconscious changes in attitudes and behaviour, for example in the form of increased in-group bias and behaviour that serves to defend an individual’s cultural worldview",Klein et al. 2018,https://psyarxiv.com/vef2c,,,,
Social Psychology,Mortality Salience,"Death Priming/Terror Management Theory). Reminders of death lead to subconscious changes in attitudes and behaviour, for example in the form of increased in-group bias and behaviour that serves to defend an individual’s cultural worldview",performed a replication of Greenberg et al. (1994) Experiment 1 with and without original author involvement,"https://psyarxiv.com/vef2c)n = 2281 for Experiment 1, citations = 99 (GS, June 2022)]. [Sætrevik & Sjåstad 2019](https://psyarxiv.com/dkg53/",,"n = 101 for Experiment 1, n = 784 for Experiment 2,","7 (GS, March 2023)",101 & 784
Social Psychology,Mortality Salience,"Death Priming/Terror Management Theory). Reminders of death lead to subconscious changes in attitudes and behaviour, for example in the form of increased in-group bias and behaviour that serves to defend an individual’s cultural worldview",Goldberg et al. (2001),http://dx.doi.org/10.1037/0096-3445.130.3.427,10.1037/0096-3445.130.3.427,by,,
Social Psychology,Mortality Salience,"Death Priming/Terror Management Theory). Reminders of death lead to subconscious changes in attitudes and behaviour, for example in the form of increased in-group bias and behaviour that serves to defend an individual’s cultural worldview",Rodríguez-Ferreiro et al. 2019,"https://royalsocietypublishing.org/doi/full/10.1098/rsos.191114)n = 128, citations = 16 (GS, March 2023","10.1098/rsos.191114)n = 128, citations = 16 (GS, March 2023",.,,
Social Psychology,Spatial priming for emotional closeness,Plotting points closer together led to participants reporting they were closer to their own family members than those who plotted points farther apart,Pashler et al. 2012,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3430642/,,"n = 92,","188 (GS, January 2022)",92
Social Psychology,Spatial priming for emotional closeness,Plotting points closer together led to participants reporting they were closer to their own family members than those who plotted points farther apart,Open Science Collaboration 2015,https://osf.io/7uh8g/,,"n=125,","6148 (GS, January 2022)",125
Social Psychology,Implicit God prime increases self-reported risky behaviour,Implicitly priming God using the scrambled-sentence paradigm increases self-reported risk taking,Gervais et al. 2020,https://journals.sagepub.com/doi/full/10.1177/0956797620922477,10.1177/0956797620922477,"Experiment 1a: n=556, Experiment 1b: n=548,","9 (GS, November 2022)",556 & 548
Social Psychology,Implicit God prime increases actual risky behaviour,Implicitly priming God using the scrambled-sentence paradigm increases willingness to engage in risky behaviour for financial reward,Gruneau Brulin et al. 2018,"https://psycnet.apa.org/record/2018-36594-008)Experiment 1b: n = 160,  Experiment 2b: n=264, citations=19 (GS, November 2022",,.,,
Social Psychology,Implicit religious priming,Implicitly priming god concepts by unscrambling sentences with words relating to religion increases prosocial behaviour in an anonymous economic game,Billingsley et al. 2018,https://royalsocietypublishing.org/doi/full/10.1098/rsos.170238,10.1098/rsos.170238,"n=489 and n=511, (","22 (GS, November 2021)",489 & 511
Social Psychology,Implicit religious priming,Implicitly priming god concepts by unscrambling sentences with words relating to religion increases prosocial behaviour in an anonymous economic game,Gervais et al. 2022,https://journals.sagepub.com/doi/full/10.1177/0956797620922477,10.1177/0956797620922477,"experiment 1a n=556, experiment 1b n=548,","9 (GS, November 2022)",556 & 548
Social Psychology,Implicit religious priming,Implicitly priming god concepts by unscrambling sentences with words relating to religion increases prosocial behaviour in an anonymous economic game,Gomes and McCullough 2015,https://psycnet.apa.org/doiLanding?doi=10.1037%2Fxge0000027,,"n=455,","86 (GS, November 2021)",455
Social Psychology,Implicit religious priming,Implicitly priming god concepts by unscrambling sentences with words relating to religion increases prosocial behaviour in an anonymous economic game,Kupor et al. 2015,https://journals.sagepub.com/doi/abs/10.1177/0956797614563108,10.1177/0956797614563108,"experiment 1a, n=61, and experiment 1b, n=202,","76 (GS, November 2022)",61 & 202
Social Psychology,Implicit religious priming,Implicitly priming god concepts by unscrambling sentences with words relating to religion increases prosocial behaviour in an anonymous economic game,Snell et al. 2022,https://journals.sagepub.com/doi/10.1177/01461672221135956,10.1177/01461672221135956,"meta analysis, N = 11330,","1 (GS, July 2023)",11330
Social Psychology,Heat priming,Exposure to words related to hot temperatures increases aggressive thoughts and hostile perceptions. This effect suggests that people mentally associate heat-related constructs with aggression-related constructs,McCarthy 2014,https://www.sciencedirect.com/science/article/abs/pii/S0022103114000663?via%3Dihub,,"n=182,","14 (GS, June 2022)",182
Social Psychology,Honesty priming,"​​Honesty priming** (goal-priming, social priming). An increased level of honesty to embarrassing behaviours after exposure to honesty-related words",Pashler et al. 2013,https://doi.org/10.1016/j.jesp.2013.05.011,10.1016/j.jesp.2013.05.011,"Direct replication, Experiment 1 n=149 and Experiment 2 n=152, and conceptual replication, Experiment 3 n=151 and Experiment 4 n=153,","66 (GS, October 2022)",149 & 152 & 151 & 153
Social Psychology,Honesty priming,"​​Honesty priming** (goal-priming, social priming). An increased level of honesty to embarrassing behaviours after exposure to honesty-related words",Dalal and Hakel 2016,https://doi.org/10.1177/1094428116639131,10.1177/1094428116639131,"Experiment 1 n = 590, conceptual replication,","41 (GS, March 2023)",590
Social Psychology,Achievement priming,"goal priming, high-performance goal priming). Exposing individuals to words that are success oriented (e.g., win, strive) will increase their performance on a task compared to those exposed to neutral words (e.g., carpet, shampoo).​",Shantz and Latham 2009,https://doi.org/10.1016/j.obhdp.2009.01.001,10.1016/j.obhdp.2009.01.001,"Pilot Study: n = 52, Field Experiment: n = 81,","221 (GS, October 2022)",52 & 81
Social Psychology,Achievement priming,"goal priming, high-performance goal priming). Exposing individuals to words that are success oriented (e.g., win, strive) will increase their performance on a task compared to those exposed to neutral words (e.g., carpet, shampoo).​",Harris et al. 2013,https://doi.org/10.1371/journal.pone.0072467,10.1371/journal.pone.0072467,"Experiment 1: n = 98, Experiment 2: n = 66,","199 (GS, October 2022)",98 & 66
Social Psychology,Achievement priming,"goal priming, high-performance goal priming). Exposing individuals to words that are success oriented (e.g., win, strive) will increase their performance on a task compared to those exposed to neutral words (e.g., carpet, shampoo).​",Weingarten et al. 2016,http://dx.doi.org/10.1037/bul0000030,10.1037/bul0000030,"meta-analysis, n = NA, k = 133 studies,","333 (GS, October 2022)",
Social Psychology,Weapons priming effect,"weapons effect). Stimuli or cues associated with aggression, such as weapons, can elicit aggressive responses",Turner and Simons 1974,https://doi.org/10.1177/014616727400100164,10.1177/014616727400100164,"n = 60,","11 (GS, October 2022)",60
Social Psychology,Weapons priming effect,"weapons effect). Stimuli or cues associated with aggression, such as weapons, can elicit aggressive responses",Frodi 1975,https://doi.org/10.1080/00207597508247340,10.1080/00207597508247340,"n = 100,","50 (GS, October 2022)",100
Social Psychology,Weapons priming effect,"weapons effect). Stimuli or cues associated with aggression, such as weapons, can elicit aggressive responses",Carlson et al. 1990,https://doi.org/10.1037/0022-3514.58.4.622,10.1037/0022-3514.58.4.622,"meta-analysis; n = 628 (fail-safe), k = 56 studies,","339 (GS, October 2022)",628
Social Psychology,Weapons priming effect,"weapons effect). Stimuli or cues associated with aggression, such as weapons, can elicit aggressive responses","Benjamin et al., 2018",https://journals.sagepub.com/doi/full/10.1177/1088868317725419,10.1177/1088868317725419,"meta-analysis; n = 7,668 participants, k = 78 studies,","12 (GS, October 2022)","7,668"
Social Psychology,Weapons priming effect,"weapons effect). Stimuli or cues associated with aggression, such as weapons, can elicit aggressive responses",Ariel et al. 2019,https://doi.org/10.1177/0093854818812918,10.1177/0093854818812918,"RCT of taser presence and the police force; n = 678 officers,","42 (GS, October 2022)",678
Social Psychology,Goal priming effect,"goal contagion, goal inspiration, behavioural inspiration). The observation of other’ behaviour (e.g., your observe someone jogging in the park) may lead to the inference of the goal in the observer (“This person wants to keep fit.”) and to the adoption of the same goal (“Maybe I should do some sports too.”",Brohmer et al. 2021,http://doi.org/10.5334/irsp.428,10.5334/irsp.428,"meta analysis total n=4751,","2 (GS, December 2022)",4751
Social Psychology,Goal priming effect,"goal contagion, goal inspiration, behavioural inspiration). The observation of other’ behaviour (e.g., your observe someone jogging in the park) may lead to the inference of the goal in the observer (“This person wants to keep fit.”) and to the adoption of the same goal (“Maybe I should do some sports too.”",Corcoran et al. 2020,https://doi.org/10.1080/23743603.2020.1767502,10.1080/23743603.2020.1767502,"n=300,","10 (GS, December 2022)",300
Social Psychology,Olfactory priming of cleaning behaviour,"scent priming, sensory priming). People who were exposed to a lemon scent were more likely to engage in a range of cleaning-related behaviours and have more rapid access to cleaning-related concepts, compared to people who were not exposed to a lemon-scent. This finding suggests that olfactory cues can be processed unconsciously and impact people’s cognition and downstream behaviour","n = number of participants not explicitly given, but 36 measurements were taken post-intervention, evenly split between control and lemon-scented condition",https://www.tandfonline.com/doi/full/10.1080/15534510.2012.659509,10.1080/15534510.2012.659509,",","69 (GS, July 2023)",
Social Psychology,Verbal framing (temporal tense),Participants who read what a person **was doing** (relative to those who read what person **did**) showed enhanced accessibility of intention-related concepts and attributed more intentionality to the person,Eerland et al. 2016,https://journals.sagepub.com/doi/pdf/10.1177/1745691615605826,10.1177/1745691615605826,"meta analysis, total n= 685 for perfective-aspect condition, n = 681 imperfective-aspect condition of Study 3,","70 (GS, January, 2022)",685 & 681
Social Psychology,Reference framing,"Risk preferences change depending on whether a choice is presented in terms of gains or losses, even when the prospects of the options are held constant.​",Ruggeri et al. 2020,https://www.nature.com/articles/s41562-020-0886-x,,"multinational replication study n=4,098,","143 (GS, March 2023)","4,098"
Social Psychology,Prosocial spending,Spending money on other people leads to greater happiness than spending money on oneself,"Akinn et al., 2020",https://doi.apa.org/fulltext/2020-23349-001.pdf?auth_token=24a0cdbea49548a6e0de651a3de753b3d84652eb&returnUrl=https%3A%2F%2Fdoi.apa.org%2FdoiLanding%3Fdoi%3D10.1037%252Fpspa0000191,,"3 Experiments, Experiment 1: n=712, Experiment 2:  n =1,950, Experiment 3: n  =5,199,","51 (GS, March 2022)","712 & 1,950 & 5,199"
Social Psychology,Gustatory disgust on moral judgement,Gustatory disgust triggers a heightened sense of moral wrongness,Ghelfi et al. 2020,https://journals.sagepub.com/doi/10.1177/2515245919881152,10.1177/2515245919881152,"meta-analysis, total n = 1137,","18 (GS, January 2022)",1137
Social Psychology,Gustatory disgust on moral judgement,Gustatory disgust triggers a heightened sense of moral wrongness,Johnson et al. 2016,https://journals.sagepub.com/doi/abs/10.1177/1948550616654211?journalCode=sppa,10.1177/1948550616654211?journalCode=sppa,"Study 1: n = 478, Study 2: n = 934,",52 (GS January 2022),478 & 934
Social Psychology,Macbeth effect,Moral aspersions induce literal physical hygiene,Siev et al. 2018,"https://curatescience.org/app/article/300)meta-analysis: n=1,746, citations = 17(GS, January 2022",,.,,
Social Psychology,Signing at the beginning rather than end makes ethics salient,Signing a statement of honest intent before providing information rather than after can reduce dishonesty,"Uri, Joe and Leif, 2021",http://datacolada.org/98,,"n=NA,","2 (GS, March 2023)",
Social Psychology,Social class on prosocial behaviour,"Individuals from a high social class are more likely to exhibit prosocial behaviour than those from a low social class, but there is a U-shaped curve between social class and prosocial behaviour that sometimes appears",Gittell & Tebaldi 2006,"https://journals.sagepub.com/doi/pdf/10.1177/0899764006289768)n=NA, citations = 161 (GS, June 2022)]. [James III & Sharpe 2007](https://www.researchgate.net/profile/Deanna-Sharpe/publication/249677223_The_Nature_and_Causes_of_the_U-Shaped_Charitable_Giving_Profile/links/55e8472608ae3e1218422b3c/The-Nature-and-Causes-of-the-U-Shaped-Charitable-Giving-Profile.pdf","10.1177/0899764006289768)n=NA, citations = 161 (GS, June 2022)]. [James III & Sharpe 2007](https:","n = 16,442 households,","171 (GS, June 2022)","16,442"
Social Psychology,Social class on prosocial behaviour,"Individuals from a high social class are more likely to exhibit prosocial behaviour than those from a low social class, but there is a U-shaped curve between social class and prosocial behaviour that sometimes appears",Piff et al. 2010,"https://www.uky.edu/AS/PoliSci/Peffley/pdf/Sniderman/Piff%20et%20al.2010.JPSP.Having%20Less,%20Giving%20More_The%20Influence%20of%20Social%20Class%20on%20Prosocial%20Behavior.pdf",,"4 experiments with Experimeent 1: n = 115; Experiment 2 : n = 81; Experiment 3 : n = 155; Experiment4 : n = 91,","1572 (GS, June 2022)",115 & 81 & 155 & 91
Social Psychology,Social class on prosocial behaviour,"Individuals from a high social class are more likely to exhibit prosocial behaviour than those from a low social class, but there is a U-shaped curve between social class and prosocial behaviour that sometimes appears",Guinote et al. 2015,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4311842/,,"; Experiment 1 : n = 44; Study 4 : n = 48 children,","185 (GS, June 2022)",44 & 48
Social Psychology,Social class on prosocial behaviour,"Individuals from a high social class are more likely to exhibit prosocial behaviour than those from a low social class, but there is a U-shaped curve between social class and prosocial behaviour that sometimes appears",Chen et al. 2013,"https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0080419)n = 469 kindergarten children, citations=110 (GS, June 2022)]. [Korndörfer et al. 2015](https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0133193","10.1371/journal.pone.0080419)n = 469 kindergarten children, citations=110 (GS, June 2022)]. [Korndörfer et al. 2015](https:","8 studies, n1 = 9260 German households, n2 = 32,090 US households, n3 = 3975 (objective) & 3,857 (subjective) US persons, n4 =  33,072 German persons, n5 =  3,983 (objective) & n = 3,964 (subjective) US persons, n6 = 32,257 persons in 28 countries, n7 = 3,902 (objective) & n = 3,886 (subjective) US persons, n8 = 1,421 German persons,","238 (GS, March 2023)","3,964 & 3,886"
Social Psychology,Social class on prosocial behaviour,"Individuals from a high social class are more likely to exhibit prosocial behaviour than those from a low social class, but there is a U-shaped curve between social class and prosocial behaviour that sometimes appears","Stamos et al., 2020",https://www.sciencedirect.com/science/article/abs/pii/S0092656619301230,,"Experiment 1: n = 300, Experiment2: n = 200,","31 (GS, March 2023)",300 & 200
Social Psychology,Stanford Prison Experiment,"employed a simulation of a prison environment to  examine the psychological effects of coercive situations. Utilising role-playing, labelling and social expectations it showed that one third of participants in the role of prison guards displayed aggressive and dehumanising behaviour",Le Texier 2019,https://www.ncbi.nlm.nih.gov/pubmed/31380664,,"commentary, n=NA,","38 (GS, January, 2022)",
Social Psychology,Stanford Prison Experiment,"employed a simulation of a prison environment to  examine the psychological effects of coercive situations. Utilising role-playing, labelling and social expectations it showed that one third of participants in the role of prison guards displayed aggressive and dehumanising behaviour",Banuazizi & Mahavedi 1975,https://content.apa.org/record/1975-27442-001,,"methodological analysis, n=NA,","118 (GS, January 2022)",
Social Psychology,Stanford Prison Experiment,"employed a simulation of a prison environment to  examine the psychological effects of coercive situations. Utilising role-playing, labelling and social expectations it showed that one third of participants in the role of prison guards displayed aggressive and dehumanising behaviour",Festinger 1980,https://psycnet.apa.org/record/2003-00168-000,,"book, n=NA,","132 (GS, January 2022)",
Social Psychology,Stanford Prison Experiment,"employed a simulation of a prison environment to  examine the psychological effects of coercive situations. Utilising role-playing, labelling and social expectations it showed that one third of participants in the role of prison guards displayed aggressive and dehumanising behaviour","Haslam, Reicher, & Van Bavel 2019",https://psycnet.apa.org/doiLanding?doi=10.1037%2Famp0000443,,"methodological analysis, n=NA,","37 (GS, January 2022)",
Social Psychology,Stanford Prison Experiment,"employed a simulation of a prison environment to  examine the psychological effects of coercive situations. Utilising role-playing, labelling and social expectations it showed that one third of participants in the role of prison guards displayed aggressive and dehumanising behaviour",Griggs & Whitehead 2014,https://journals.sagepub.com/doi/10.1177/0098628314549703,10.1177/0098628314549703,"textbook analysis, n=NA,","37 (GS, January 2022)",
Social Psychology,Stanford Prison Experiment,"employed a simulation of a prison environment to  examine the psychological effects of coercive situations. Utilising role-playing, labelling and social expectations it showed that one third of participants in the role of prison guards displayed aggressive and dehumanising behaviour",Griggs 2014,"https://journals.sagepub.com/doi/10.1177/0098628314537968)textbook analysis, n=NA, citations = 48 (GS, January 2022)]. [Blum 2018 ](https://gen.medium.com/the-lifespan-of-a-lie-d869212b1f62)media coverage, n=NA, citations = 31 (GS, January 2022)]. [LeTexier 2020 ](https://psyarxiv.com/9a2er/)preprint, citations= 0 (GS, January 2022)]. [Izydorczak & Wicher 2020 ](https://psyarxiv.com/bj6p5/)preprint, citations= 0 (GS, January, 2022)]. [Reicher & Haslam 2011](https://bpspsychub.onlinelibrary.wiley.com/doi/full/10.1348/014466605X48998","10.1177/0098628314537968)textbook analysis, n=NA, citations = 48 (GS, January 2022)]. [Blum 2018 ](https:","experimental case study but not exact replication of SFE; n = 15, citations ~435 (GS, January 2022)].",,15
Social Psychology,Stanford Prison Experiment,"employed a simulation of a prison environment to  examine the psychological effects of coercive situations. Utilising role-playing, labelling and social expectations it showed that one third of participants in the role of prison guards displayed aggressive and dehumanising behaviour","Lovibond, Adams, & Adams 1979","https://www.tandfonline.com/doi/abs/10.1080/00050067908254355)original research but not exact replication of SFE; n = 60, citations= 55 (GS, January, 2022","10.1080/00050067908254355)original research but not exact replication of SFE; n = 60, citations= 55 (GS, January, 2022",.,,
Social Psychology,Milgram experiment,"was a study examining the influence of authority on immoral behaviour. Participants were assigned the role of ‘teachers’ and they were instructed by the experimentator to administer electric shocks** **of** **15-450 V voltage, whenever the ‘learner’  made a mistake. There were various variants of the study. In the most basic one, 100% of participants agree to administer a 300 V shock and 65% agreed to apply to maximum shock of 450 V",Burger 2011,https://journals.sagepub.com/doi/abs/10.1177/1948550610397632,10.1177/1948550610397632,"n=62 transcripts from the earlier experiment,","108 (GS, March 2023)",62
Social Psychology,Milgram experiment,"was a study examining the influence of authority on immoral behaviour. Participants were assigned the role of ‘teachers’ and they were instructed by the experimentator to administer electric shocks** **of** **15-450 V voltage, whenever the ‘learner’  made a mistake. There were various variants of the study. In the most basic one, 100% of participants agree to administer a 300 V shock and 65% agreed to apply to maximum shock of 450 V",Perry 2012,https://thenewpress.com/books/behind-shock-machine,,"book, n=NA,","261 (GS, March 2023)",
Social Psychology,Milgram experiment,"was a study examining the influence of authority on immoral behaviour. Participants were assigned the role of ‘teachers’ and they were instructed by the experimentator to administer electric shocks** **of** **15-450 V voltage, whenever the ‘learner’  made a mistake. There were various variants of the study. In the most basic one, 100% of participants agree to administer a 300 V shock and 65% agreed to apply to maximum shock of 450 V",Brannigan 2013,https://link.springer.com/article/10.1007/s12115-013-9724-3,10.1007/s12115-013-9724-3,"n=NA,","14 (GS, January 2022)",
Social Psychology,Milgram experiment,"was a study examining the influence of authority on immoral behaviour. Participants were assigned the role of ‘teachers’ and they were instructed by the experimentator to administer electric shocks** **of** **15-450 V voltage, whenever the ‘learner’  made a mistake. There were various variants of the study. In the most basic one, 100% of participants agree to administer a 300 V shock and 65% agreed to apply to maximum shock of 450 V",Griggs 2016,"https://journals.sagepub.com/doi/abs/10.1177/0098628316677644)n=NA, citations= 28(GS, March 2023)]. [Caspar 2020](https://www.sciencedirect.com/science/article/pii/S1053811920307370","10.1177/0098628316677644)n=NA, citations= 28(GS, March 2023)]. [Caspar 2020](https:","n=NA,","25 (GS, March 2023)",
Social Psychology,Milgram experiment,"was a study examining the influence of authority on immoral behaviour. Participants were assigned the role of ‘teachers’ and they were instructed by the experimentator to administer electric shocks** **of** **15-450 V voltage, whenever the ‘learner’  made a mistake. There were various variants of the study. In the most basic one, 100% of participants agree to administer a 300 V shock and 65% agreed to apply to maximum shock of 450 V",Doliński et al. 2017,https://journals.sagepub.com/doi/abs/10.1177/1948550617693060?journalCode=sppa,10.1177/1948550617693060?journalCode=sppa,"n=80,","122 (GS, March 2023)",80
Social Psychology,Milgram experiment,"was a study examining the influence of authority on immoral behaviour. Participants were assigned the role of ‘teachers’ and they were instructed by the experimentator to administer electric shocks** **of** **15-450 V voltage, whenever the ‘learner’  made a mistake. There were various variants of the study. In the most basic one, 100% of participants agree to administer a 300 V shock and 65% agreed to apply to maximum shock of 450 V",Blass 1999,"https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.694.7724&rep=rep1&type=pdf)n=NA, citations= 595(GS, March 2023",,.,,
Social Psychology,Robbers Cave Study,"Utilised arbitrary groupings to demonstrate that tribalism between groups arises spontaneously, and depending on the context, it can result in group competition (e.g., in case of scarce resources) or group cooperation (e.g., in case of superordinate goals and common obstacles",Billig 1976,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2420100108,10.1002/ejsp.2420100108,"in passing book, n=NA,","808 (GS, February, 2022)",
Social Psychology,Robbers Cave Study,"Utilised arbitrary groupings to demonstrate that tribalism between groups arises spontaneously, and depending on the context, it can result in group competition (e.g., in case of scarce resources) or group cooperation (e.g., in case of superordinate goals and common obstacles",Haslam 2018,https://www.nature.com/articles/d41586-018-04582-7)]. [Perry 2018](https://www.amazon.com/Lost-Boys-Muzafer-Sherifs-experiment/dp/1947534602/ref=sr_1_6?crid=2AMX9Z8LJP4RO&keywords=the+lost+boys&qid=1645026882&s=books&sprefix=the+lost+boys%2Cstripbooks-intl-ship%2C183&sr=1-6,,"in passing book,","25 (GS, February, 2022)",
Social Psychology,Robbers Cave Study,"Utilised arbitrary groupings to demonstrate that tribalism between groups arises spontaneously, and depending on the context, it can result in group competition (e.g., in case of scarce resources) or group cooperation (e.g., in case of superordinate goals and common obstacles",Shariatmadari 2018,https://www.theguardian.com/science/2018/apr/16/a-real-life-lord-of-the-flies-the-troubling-legacy-of-the-robbers-cave-experiment,,and,,
Social Psychology,Robbers Cave Study,"Utilised arbitrary groupings to demonstrate that tribalism between groups arises spontaneously, and depending on the context, it can result in group competition (e.g., in case of scarce resources) or group cooperation (e.g., in case of superordinate goals and common obstacles",Haslam 2018,https://www.nature.com/articles/d41586-018-04582-7)]. [Tavris 2014](https://www.psychologicalscience.org/observer/teaching-contentious-classics/comment-page-1,,"n=NA,","11 (GS, March 2023)",
Social Psychology,Digital technology use and adolescent wellbeing,Adolescents who spend more time on new media (including social media and electronic devices such as smartphones) are more likely to report mental health issues,Orben & Przybylski 2019,https://www.nature.com/articles/s41562-018-0506-1,,"n=355,358,","621 (GS, February, 2022)","355,358"
Social Psychology,Anthropomorphism,"Individuals who are lonely are more likely than people who are not lonely to attribute humanlike traits (e.g., free will) to nonhuman agents (e.g., an alarm clock),to fulfil unmet needs for belongingness","Sandstrom & Dunn, Open Science Collaboration 2015",https://osf.io/m5a2c/,,"total n=81,","6314 (GS, March 2022)",81
Social Psychology,Anthropomorphism,"Individuals who are lonely are more likely than people who are not lonely to attribute humanlike traits (e.g., free will) to nonhuman agents (e.g., an alarm clock),to fulfil unmet needs for belongingness",Bartz et al. 2016,https://journals.sagepub.com/doi/full/10.1177/0956797616668510?casa_token=qcDJNqQPntEAAAAA%3Aul4FzUrPqPGk0Y2lem5J4E6x2vl0HPz4WRILo-UTZtyf3eKUK7V8-eWpYsvDtf1x-R-qKXWzYPcd,10.1177/0956797616668510?casa_token=qcDJNqQPntEAAAAA:ul4FzUrPqPGk0Y2lem5J4E6x2vl0HPz4WRILo-UTZtyf3eKUK7V8-eWpYsvDtf1x-R-qKXWzYPcd,"total n=178, citations= 83 (GS, March 2023.",,178
Social Psychology,Female-named hurricanes are more deadly than male-named ones,"Original effect size was a 176% increase in deaths, driven entirely by four outliers; reanalysis using a greatly expanded historical dataset found a nonsignificant decrease in deaths from female named storms",Christensen 2014,https://www.pnas.org/content/111/34/E3497,,"same data,","114 (GS, March 2022)",
