Discipline,Effect,Description,Original effect size
Social Psychology,Verbal framing (temporal tense),Participants who read what a person **was doing** (relative to those who read what person **did**) showed enhanced accessibility of intention-related concepts and attributed more intentionality to the person,"Study 1: d = 1.00 for intentionality in imperfective-aspect condition;  Study 2: d = 1.23 for imagery in imperfective-aspect condition; Study 3: d= 1.20 for intentionality,  d = 0.92 for imagery and 0.55 for intention attribution in imperfective-aspect condition."
Social Psychology,Reference framing,"Risk preferences change depending on whether a choice is presented in terms of gains or losses, even when the prospects of the options are held constant.​","log OR = -2.485 (reported in[ Ruggeri et al. 2020](https://www.nature.com/articles/s41562-020-0886-x), data available at[ https://osf.io/esxc4/](https://osf.io/esxc4/))."
Social Psychology,Prosocial spending,Spending money on other people leads to greater happiness than spending money on oneself,b = 0.11.
Social Psychology,Gustatory disgust on moral judgement,Gustatory disgust triggers a heightened sense of moral wrongness, Cohen’s d = 1.12 (comparison to control group); Cohen’s  d = 1.28 (comparison to sweet taste).
Social Psychology,Macbeth effect,Moral aspersions induce literal physical hygiene,Study 1: g = 0.38; Study 2:  g = 0.75; Study 3: g = 0.38; Study 4: g = 0.33.
Social Psychology,Signing at the beginning rather than end makes ethics salient,Signing a statement of honest intent before providing information rather than after can reduce dishonesty,"χ2 (2, n = 101) = 12.58, p = 0.002; χ2 (1, n = 60) = 4.27, p &lt; 0.04; F(1, 13,485) = 128.63, p &lt; 0.001."
Social Psychology,Social class on prosocial behaviour,"Individuals from a high social class are more likely to exhibit prosocial behaviour than those from a low social class, but there is a U-shaped curve between social class and prosocial behaviour that sometimes appears",Ramirez-Valles: household income on past-12-month volunteering in public health OR = 1.22; education NS OR = 1.02. 
Social Psychology,Stanford Prison Experiment,"employed a simulation of a prison environment to  examine the psychological effects of coercive situations. Utilising role-playing, labelling and social expectations it showed that one third of participants in the role of prison guards displayed aggressive and dehumanising behaviour","Key claims were insinuation plus a battery of difference in means tests at up to 20% significance(!). n = 24, data analysis on 21."
Social Psychology,Milgram experiment,"was a study examining the influence of authority on immoral behaviour. Participants were assigned the role of ‘teachers’ and they were instructed by the experimentator to administer electric shocks** **of** **15-450 V voltage, whenever the ‘learner’  made a mistake. There were various variants of the study. In the most basic one, 100% of participants agree to administer a 300 V shock and 65% agreed to apply to maximum shock of 450 V","65% of subjects said to administer maximum, dangerous voltage."
Social Psychology,Robbers Cave Study,"Utilised arbitrary groupings to demonstrate that tribalism between groups arises spontaneously, and depending on the context, it can result in group competition (e.g., in case of scarce resources) or group cooperation (e.g., in case of superordinate goals and common obstacles","N/A. Not reported in conventional format. (Rationale: ""results obtained through observational methods were cross-checked with results obtained through sociometric technique, stereotype ratings of in-groups and outgroups, and through data obtained by techniques adapted from the laboratory. Unfortunately, these procedures cannot be elaborated here."")"
Social Psychology,Digital technology use and adolescent wellbeing,Adolescents who spend more time on new media (including social media and electronic devices such as smartphones) are more likely to report mental health issues,d = .27 for the rise in the depressive symptoms among females (2010 through 2015) due to screen media use.
Social Psychology,Anthropomorphism,"Individuals who are lonely are more likely than people who are not lonely to attribute humanlike traits (e.g., free will) to nonhuman agents (e.g., an alarm clock),to fulfil unmet needs for belongingness",r=0.53.
Social Psychology,Female-named hurricanes are more deadly than male-named ones,"Original effect size was a 176% increase in deaths, driven entirely by four outliers; reanalysis using a greatly expanded historical dataset found a nonsignificant decrease in deaths from female named storms",d=0.65: [176%](https://www.google.co.uk/search?source=hp&ei=HC1yXtKbBqeRlwTgzplw&q=41.84+%2F+15.15+&oq=41.84+%2F+15.15+&gsl=psy-ab.3...606.10628..10753...0.0..0.91.412.5......3....1..gws-wiz.......0i7i30j0.raVAib7H4Jk&ved=0ahUKEwjSmciGm6ToAhWnyIUKHWBnBg4Q4dUDCAg&uact=5) increase in deaths from flipping names from relatively masculine to relatively feminine.
Social Psychology,Implicit bias testing for racism,"Implicit bias scores poorly predict actual bias, _r_ = 0.15. The operationalisations used to measure that predictive power are often unrelated to actual discrimination (e.g. ambiguous brain activations). Test-retest reliability of 0.44 for race, which is usually classed as “unacceptable”. This isn’t news; the original study also found very low test-criterion correlations",attitude d=0.58; r=0.12.
Social Psychology,Pygmalion effect,"Rosenthal Effect, self-fulfilling prophecy). Expectations about performance (e.g., academic achievement) impact performance. Specifically, teachers' expectations about their students’ abilities affect those students’ academic achievement; teacher beliefs impact their behaviour which in turn impacts student beliefs and behaviour","Average +3.8 IQ, d=0.25."
Social Psychology,Stereotype threat on Asian women’s mathematical performance,"stereotype lift), i.e. the interaction between race, gender and stereotyping. This study found that Asian-American women performed better on a maths test when their ethnic identity was activated, but worse when their gender identity was activated, compared with a control group who had neither identity activated","Asian-identity-salient > control > female-identity-salient, r=.27; Asian-identity-salient > female-identity-salient, r=.35. "
Social Psychology,Stereotype threat on girls’ mathematical performance,"A situational phenomenon whereby priming a negative gender stereotype (e.g., “women are bad at maths”) has a detrimental impact on mathematical performance","not reported; Experiment 2: Fig. 2 does not report specific values but appears to be control-group-women (M = 17, SD = 20) compared to experiment-group-women (M = 5, SD = 15), which translates to approximately d= −0.7 (calculated). "
Social Psychology,Increase in narcissism,"leadership, vanity, entitlement) in young people over the last thirty years. It's [an ancient hypothesis.](https://quoteinvestigator.com/2010/05/01/misbehave) The basic counterargument is that they’re misidentifying an age effect as a cohort effect (The narcissism construct [apparently](https://journals.sagepub.com/doi/abs/10.1177/1745691609357019) decreases by about a standard deviation between adolescence and retirement.) “every generation is Generation Me”","[d=0.37](https://journals.sagepub.com/doi/abs/10.1177/1948550609355719) increase in NPI scores (1980-2010), n=49,000."
Social Psychology,Minimal group effect (MGE),"Minimal group effect** **(MGE)** (Minimal group paradigm). An intergroup bias that manifests as ingroup favouritism (i.e., a tendency to prefer ingroup members) when participants are assigned to previously unfamiliar, experimentally created and largely meaningless social identities. In essence, the paradigm investigates the impact of social categorization on intergroup relations in the absence of realistic conflicts of interests, showing that mere social categorization is sufficient to produce ingroup favouritism",N/A
Social Psychology,Solomon Asch’s conformity,study. **The degree to which a person's own opinions are influenced by those of a group,"36.8% of the responses were incorrect (influenced by the majority). The effect has been interpreted by the author as evidence for the prevalence of independence (“The preponderance of judgments was independent, evidence that under the present conditions the force of the perceived data far exceeded that of the majority.”, Asch, 1956, p.24). "
Social Psychology,Dynamic norms,Information about increasing minority norms increases interest/engagement in minority behaviour.​,d = 0.31 to d = 0.41​.
Social Psychology,Social comparison,No robust evidence for an interaction effect between body dissatisfaction and social comparison on fat talk,Hedges’ g = 0.36.
Social Psychology,Bystander effect,claims that the feeling of responsibility diffuses with an increasing number of other observers. Research about the bystander effect was sparked by the 1964 murder of Catherine “Kitty” Genovese. See this _[New York Times article](https://www.nytimes.com/1964/03/27/archives/37-who-saw-murder-didnt-call-the-police-apathy-at-stabbing-of.html)_ for details. Here’s a more detailed [resource](http://bps.stanford.edu/?page_id=3671,not reported. 
Social Psychology,Colour red on attractiveness,Viewing the colour red enhances men's attraction to women. In a lingua franca this effect may reflect the amorous meaning in the human mating game. ​,"Experiment 1: d = 1.11; Experiment 2: η2p = .08; Experiment 3: attractiveness: η2p =  .11, sexual desire: η2p = .19, desired sexual behaviour η2p = 13; Experiment 4: attractiveness: d = 0.73, sexual desire: d = 1.55, desired sexual behaviour d = 1.11; Experiment 5: attractiveness: d =0.86, sexual desire: d = 1.00, desired sexual behaviour d = 1.11; asking someone on a date: d = 0.95; spending on a date: d = 1.35."
Social Psychology,Big brother effect,Being watched makes someone more likely to cooperate,d = 1.948.
Social Psychology,Imagined Contact - _Bias_,"Imagined Contact**. Imagining social contact (instead of having actual contact) with someone from an outgroup (based on e.g., ethnicity, sexuality, religion, age) can reduce intergroup bias","Study 1: d = .42. Study 2: ηp² = 0.20. Study 3: d = 0.86 (as calculated for this entry, using [Lakens’ tool](https://osf.io/vbdah/))."
Social Psychology,Imagined Contact -  _Intentions_,"Imagined Contact**. the claim that imagining social contact (instead of having actual contact) with someone from an outgroup (based on e.g., ethnicity, sexuality, religion, age) can increase **contact intentions","Study 1: d = 0.86, Study 2: d = 1.13."
Social Psychology,Stereotype susceptibility effects,Awareness of stereotypes about a person’s in-group can affect a person’s behaviour and performance when they complete a stereotype-relevant task.​,η2 = .07​.
Social Psychology,Positive mood-boost helping effect,People are more likely to do good when feeling good,
Social Psychology,Superiority-of-unconscious decision-making effect,"deliberation without attention effect). While conscious reflection produces better choices on simple tasks, complex choices “should be left to unconscious thought”.​",All reported in Acker: Study 1: ηp2 = 0.06 / g = 0.434 to Study 2: 0.11 / g = 0.242 for interaction between choice complexity and deliberation. Main effects and descriptives not reported.
Social Psychology,Behavioural-consequences-of-automatic-evaluation,"Behavioural-consequences-of automatic-evaluation **(affective compatibility effect).** **Automatic classification of stimuli as either good or bad have direct behavioural consequences.​ Automatic evaluation results directly in behavioural predispositions toward the stimulus, such that positive evaluations produce immediate approach tendencies, and negative evaluations produce immediate avoidance tendencies",Study 1 (conscious evaluation) – congruence factor main effect ηp2  = 0.168 / d = 0.44 [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]; Study 2 (automatic evaluation) – congruence factor main effect ηp2  = 0.078 / d = 0.29 [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Social Psychology,Self-control relies on glucose effect,"Acts of self-control decrease blood glucose levels; low levels of blood glucose predict poor performance on self-control tasks; initial acts of self-control impair performance on subsequent self-control tasks, but consuming a glucose drink eliminates these impairments","Study 1 (self-control decreases blood glucose): ηp2 = 0.057 [calculated from the reported F(1, 100) = 6.08 using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]; Study 2- discussing a sensitive topic with a member of a different race used up a significant amount of glucose among people with low Internal Motivation to Respond Without Prejudice scale (IMS), b =-3.28; Study 3 (low levels of blood glucose predict poor performance on self-control tasks): r= -0.62, Study 4 (low levels of blood glucose predict poor performance on self-control tasks): r= 0.56, Study 5 (low levels of blood glucose predict poor performance on self-control tasks): r= 0.45, Study 6 (low levels of blood glucose predict poor performance on self-control tasks): r= 0.43. Study 7 (glucose consumption): ηp2 = 0.081 [calculated], Study 8 (glucose consumption): ηp2 = 0.073 [calculated],  , Study 9 (glucose consumption): d= 1.518 [calculated].  "
Social Psychology,Physical warmth promotes interpersonal warmth,"Exposure to physical warmth will lead to more positive judgments of strangers and an increase in prosocial behaviour (e.g., gift-giving","Experiment 1 (estimated from test-statistic): d = 0.65 (people tended to give more positive ratings after holding a warm drink), Experiment 2 (converted from[ Lynott et al. 2014](https://doi.org/10.1027/1864-9335/a000187)’s OR reported for this study): d = 0.65 (people were more likely to give a gift to a friend than themselves after holding a warming pad)."
Social Psychology,Power impairs perspective-taking effect,Individuals made to feel high in power were more likely to inaccurately assume that others view the social world from the same perspective as they do,"d = .77 [0.12,1.41] obtained from Ebersole et al. (2016)."
Social Psychology,Status-legitimacy effect,"Members of low-status, disadvantaged, and marginalised groups are more likely to perceive their social systems as legitimate than their high-status and advantaged counterparts under certain circumstances. People who are most disadvantaged by the status quo, due to the greatest psychological need to reduce ideological dissonance, are most likely to support, defend, and justify existing social systems, authorities, and outcomes.​","Study 1 – effect of income, b = -0.22, race (European Americans vs. African Americans), b = -0.73, and education, b = -0.30, on willingness to limit the press; effect of income, b = -0.31, race (European Americans vs. African Americans), b = -1.01, and education, b = -0.38, on the attitudes of the rights of citizens, Study 2 – effect of income, b = 0.06, and education, b = -0.08, on trust in government officials among Latinos; Study 3 – effect of income on belief that large income differences are necessary to get people to work hard, b = 0.04, and as an incentive for individual effort, b = 0.02, Study 4 – main effects of region (North vs. South), ηp2 = 0.128 / d = 0.38, and income, ηp2 = 0.09 / d = 0.31, on meritocratic beliefs among African Americans [ηp2 calculated from the reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)], Study 5 – effect of socio-economic status, b = -0.34, and race (White versus Black), b = -0.25, on legitimation of income inequality."
Social Psychology,Red impairs cognitive performance effect,"Red impairs cognitive performance**. The colour red impairs performance on achievement tasks, as red is associated with the danger of failure and evokes avoidance motivation",d = -0.51 to -1.14​.
Social Psychology,Reduced prosociality of high SES effect,Higher socioeconomic status predicts decreased prosocial behaviour. Affluence may be linked with reduced empathy and poverty may be linked with increased empathy,mean r = −0.215.
Social Psychology,Moral licensing effect,"self-licensing, moral self-licensing, licensing effect) is the effect that acting in a moral way makes people more likely to excuse and perform subsequent immoral, unethical, or otherwise problematic behaviours","Study 1: d = 0.62 [-0.11, 1.35]; Study 3: d = 0.59 [-0.12, 1.30] (effect sizes taken from replication paper by Blanken et al.)."
Social Psychology,Colour on approach/avoidance,"Red (versus blue) colour induces primarily an avoidance (versus approach) motivation and enhances performance on a detail-oriented task, whereas blue enhances performance on a creative task.​","Study 1 – blue versus red condition comparison for approach-related anagrams, d = 0.81, and for avoidance-related anagrams d = 0.96; Study 2 – blue versus red condition on detailed-oriented task, d = 0.64, and on creative task, d = 0.6; Study 3 - blue versus red condition on detailed-oriented task, d = 1.05, and on creative task, d = 0.69; Study 4 - blue versus red condition on the practicality of the designed toy, d = 0.64, and on the originality/novelty of the designed toy, d = 0.67; Study 5​ - blue versus red condition on detailed-oriented processing style, d = 0.42, and creative thinking, d = 0.56;"
Social Psychology,Playboy effect,Playboy Effect.** Men exposed to erotic images of the opposite-sex will report lower ratings of love for their partner and lower ratings for their partners sexual attractiveness compared to men exposed to abstract art. This effect was not found in women in either the original or replication attempts,"Reduced sexual attraction to partner (d = 1.05), reduced love for partner (d = 0.77). Effect sizes estimated from test-statistics reported in paper."
Social Psychology,Self-protective subjective temporal distance effect,"Participants reported that negative events in their own lives felt farther away than positive events in their own lives, and this effect was stronger for participants higher in self-esteem",ηp2 = .0185 (based on transforming from beta of -.136). 
Social Psychology,Trait loneliness hot shower effect,"People self-regulate their feelings of social warmth (connectedness to others) through applications of physical warmth of shower or bath, without explicit awareness of this substitution. Loneliness as a form of “social coldness” can be relieved by applying physical warmth",r = .57 (Study 1a; n=51) and r = .37 (Study 1b; n =41)
Social Psychology,American flag priming boosts Republican support,"Subtle exposure to the American flag causes people to report more conservative, Republican beliefs and attitudes",d = .50
Social Psychology,Unethicality darkens perception of light,"El Greco fallacy). Recalling abstract concepts such as evil (as exemplified by unethical deeds) and goodness (as exemplified by ethical deeds) can influence the sensory experience of the brightness of light. Recalling unethical behaviour led participants to see the room as darker and to desire more light-emitting products (e.g., a flashlight) compared to recalling ethical behaviour","perceived brightness – d = 0.65 [reported]​, estimated watts d = 0.64 [reported], lamp preference – d = 1.23 [reported], candle preference – d = 0.79 [reported], flashlight preference – d = 1.33 [reported]"
Social Psychology,Fertility on voting,"Ovulation effect). Ovulatory (or high-fertility) phase of the menstrual cycle affects voting preferences and has different effects on women who are single then women who are in committed relationships. Single women were more likely to vote for Barack Obama (liberal/Democrat candidate) if they were ovulating then if they were not, while the opposite was true for women in committed relationship – ovulation led them more likely to vote for Mitt Romney (conservative/Republican candidate).​","single women d = 0.32 [reported], women in relationships d = 0.37 [reported]​."
Social Psychology,Modulation of 1/f noise on the weapon identification task,Making an effort to modulate the use of racial information decreases the emission of 1/f noise,d=.59. 
Social Psychology,Time is money effect,Putting a price on time can influence enjoyment of leisure activities as individuals get more impatient if they are compensated for engaging in these activities. ​,Study 1: ηp2=.119; Study 2: ηp2 =.019; Study 3: ηp2 =.031.
Social Psychology,Embodiment of secrets,"secrets-as-burdens). Secrets are experienced as physical burdens, influencing how people perceive and act in the world.​ People who recalled, were preoccupied with, or suppressed an important secret estimated hills to be steeper and perceived distances to be farther","Study 1 – Big/meaningful vs. small/trivial secret hill steepness comparisons d = 0.78 (calculated from M and SD data in the paper, also reported in[ LeBel and Wilbur 2014](https://link.springer.com/article/10.3758/s13423-013-0549-2)); Study 2 - Big/meaningful vs. small/trivial distant perception comparisons d = 0.67 (calculated from M and SD data in the paper, also reported in[ Pecher et al. 2015](https://psycnet.apa.org/doiLanding?doi=10.1037%2Fxge0000090)); Study 3 – effects of the frequencies of thought of infidelity on estimated effort required by physical task R2 = .21 / d = 1.03 [converted using this[ conversion](https://www.escal.site/)]; Study 4 – more burdensome vs. less burdensome secret concealment effects on willingness to help others with physical task r = .44 / d = 0.98 [converted using this[ conversion](https://www.escal.site/)]."
Social Psychology,Warmer-hearts-warmer-room effect,Priming “warm” communal traits (vs. other traits) led participants to report that the room in which they were taking the study was warmer,"d = .86 [.40, 1.33] obtained from Ebersole et al. 2016."
Social Psychology,Treating-prejudice-with-imagery effect,Imagining a positive encounter with a member of a stigmatised group promote positive perceptions when it was preceded by imagined negative encounter.​,"All effect sizes reported in McDonald et al.: anxiety adult with schizophrenia d = 0.76, anxiety homosexual men d = 1.08, contact homosexual men d = -0.88."
Social Psychology,Grammar influences perceived intentionality effect,Grammar influences perceived intentionality**. Describing a person's behaviours in terms of what the person _was doing _(rather than what the person _did_) enhances intentionality attributions in the context of both mundane and criminal behaviors.​ Participants judged actions described in the imperfective as being more intentional and they imagined these actions in more detail,"Experiment 1 – accessibility to intention-relevant concepts d = 1.00 [reported]; Experiment 2 – attribution of intentionality d = 1.00 [reported], detailed segmentation of behaviour descriptions d = 1.23 [reported]; Experiment 3 – criminal intentionality d = 0.76 [reported], intention attributions d = 0.66 [reported], imagery d = 0.73 [reported]."
Social Psychology,Attachment-warmth embodiment effect,anxious attachment warm food effect) Attachment anxiety positively predicts sensitivity to temperature cues.​ Individuals with high (but not low) attachment anxiety report higher desires for warm foods (but not neutral foods) when attachment is activated,"f2 = .0734 ([Table 1](https://etiennelebel.com/documents/l&c(2013,psci).pdf)), d = .60 (CurateScience), but [calculated](https://stats.oarc.ucla.edu/other/mult-pkg/faq/general/effect-size-power/faqhow-is-effect-size-used-in-power-analysis/): d = .54"
Social Psychology,Superstition boosts performance effect,"The irrational belief that certain objects (e.g., lucky charms) or beliefs (e.g., religion) will benefit performance in a task.​",Experiment 1: d = 0.83; Experiment 2: d = 0.72 to d = 0.98; Experiment 3: d = 0.66; Experiment 4: d = 0.77.
Social Psychology,Social and personal power,"Social power (power over other people) and personal power (freedom from other people) have opposite associations with independence and interdependence; they have opposite effects on stereotyping (social power decreases and personal power increases stereotyping), but parallel effects on behavioural approach (both types of power increase it","Study 1 – effect of the power manipulations on participants’ stereotyping ηp2 = 0.23 [reported] / d = 0.54 [converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]; effect of the power manipulations on participants’ behavioural approach tendencies ηp2 = 0.13 [reported] / d = 0.38 [converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]; Study 2 – significant effects of personal, b = 0.05 [0.01, 0.09], and social power, b = -0.04 [0.08, 0.01] on stereotyping; significant effects of personal, b = 0.22 [0.19, 0.26], and social power, b = 0.18 [0.13, 0.24] on behavioural approach tendencies."
Social Psychology,Classical anchoring effect,anchoring and adjustment). Assimilation of numeric estimates toward previously considered numeric values. ​,Not reported.
Social Psychology,Incidental environmental anchoring effect,"Incidental Environmental Anchoring** (incidental anchoring [[Critcher & Gilovich, 2008]](https://doi.org/10.1002/bdm.586), basic anchoring [[Wilson, Houston, Etling, & Brekke, 1996]](https://doi.org/10.1037//0096-3445.125.4.387) “Anchor values that are incidentally present in the environment can affect a person’s numerical estimates (...) these effects were not qualified by participants’ expertise in the relevant domain (study 1) or by their ability to subsequently recall the anchor value (study 3).” (Critcher & Gilovich, 2008","d = 0.49 [0.25, 0.72] according to [Shanks et al., 2020, p. 9](https://doi.org/10.1525/collabra.310)."
Social Psychology,Subliminal anchoring effect,"subliminal anchoring). Numeric estimates are biassed toward previously, subliminally presented numbers that could not be perceived by respondents.​",d=0.690 to d=0.867 
Social Psychology,Facial Colours and perceived emotions,"Facial redness increased perceived anger.** When people rate faces and these are red, rated anger is positively associated with the faces’ redness.​",Cohen’s f = .35.
Social Psychology,Romeo and Juliet effect,"Greater love and commitment towards a romantic partner when others (e.g., parents, friends) are observed to interfere with, or disapprove of, the relationship.​",Romantic love and parental interference: r = .34; Commitment and parental interference: r = .30.
Social Psychology,Stereotype activation effect,Judgments of targets that follow gender-congruent primes are made faster than judgments of targets that follow gender-incongruent primes.​,"Prime Gender x Target Gender: F(2, 144) = 15.28, p&lt;.001"
Social Psychology,Sex difference in distress to infidelity,"Men, compared to women, are more distressed by sexual than emotional infidelity, and this sex difference continued into older age.​","t(494) = 6.09 for Sample 1 and t(624) = 6.82 for Sample 2, both p’s &lt; .001."
Social Psychology,Content effect for cheater detection,There is a performance improvement on the Wason selection task if it involves cheater detection. College students were better able to complete the selection task for unfamiliar scenarios if it involved detecting a cheater instead of a descriptive scenario,OR = 7.29 [calculated].
Social Psychology,Dissenting deviant social rejection effect,Groups reject opinion deviates from future interaction,d = 1.84 (source: meta-analysis by [Tata et al. 1996)](https://econtent.hogrefe.com/doi/10.1027/1864-9335/a000180#c19)
Social Psychology,Sex differences in implicit maths attitudes,"College students, especially women, demonstrated negativity toward maths and science relative to arts and language on implicit measures.​","d=1.01[.54, 1.48] (reported in Klein et al. 2014). "
Social Psychology,Low versus high category scale effect on behaviour self – report,"Low versus high category scale effect on behaviour self-report**. Response scales serve informative functions. The response categories suggest a range of ""usual"" or ""expected"" behaviours, and this information affects respondents' behavioural reports as well as related judgments","d=0.50[0.15, 0.84]."
Social Psychology,Information source on attitudes effect,The source of information has a major impact on how that information is perceived and evaluated,NA.
Social Psychology,Door-in-the-face effect,The door-in-the-face effect occurs when making a larger initial request and then afterwards scaling back and asking a more moderate request increases compliance (with the moderate request) compared to either starting with the moderate request or starting with a small request,OR= 2.36 (d = .47).
Social Psychology,Foot-in-the-door effect,The foot-in-the-door effect occurs when getting people to comply with a very small initial request increases the likelihood that they will agree to a larger request (compared to starting with the larger request,OR = 3.912; d = 2.16.
