Discipline,Effect,Description,Replication effect size
Social Psychology,Personal cognitive dissonance - free-choice paradigm,"Personal cognitive dissonance, from the cognitive dissonance theory (Festinger, 1957), suggests that an inconsistency between two cognitions (e.g., an attitude and a past behaviour) creates an unpleasant psychological state (i.e., personal dissonance) that the individual is motivated to reduce (e.g., by changing one of the elements to fit the other). This personal cognitive dissonance has been studied in the literature through different paradigms, including the following three main ones: free-choice, induced-compliance and induced-hypocrisy paradigm. The mere act of choosing equally desirable options can arouse dissonance in the individual, because choosing option A implies the rejection of option B (in other words, choosing option A means accepting its advantages but also its disadvantages, but also accepting to deprive oneself of the advantages of option B). In order to reduce dissonance, subjects will increase the perceived gap between options (i.e., spreading of alternatives) by overestimating the chosen option and/or underestimating the rejected option. ​","Enisman et al: Effect of free-choice paradigm on spreading of alternatives: _d _= 0.40 [0.32, 0.49]​.​ ​"
Social Psychology,Personal cognitive dissonance - induced-compliance paradigm,"In this paradigm, subjects are led to perform, in a context of free choice, an inconsistent act with their own norms or social norms (e.g., agree to perform a counter-attitudinal act). Dissonance can be resolved through multiple modes of reduction (e.g., social support, trivialization, etc.), but attitude change remains the most studied mode of reduction.​","Kenworthy et al.: Effect of induced-compliance on dissonance effects: _d _= 0.81 [0.70, 0.91]​.​ Kim et al.: Effect of induced-compliance on attitude change: _r _= .22 [.21, .24]​.​"
Social Psychology,Personal cognitive dissonance - induced-hypocrisy paradigm,"Personal cognitive dissonance - Induced-hypocrisy paradigm**. In this paradigm, dissonance is aroused by making individuals aware of the discrepancy between a socially desirable behaviour (e.g., not wasting water; stage 1: normative commitment phase) and their own past transgressive behaviours (e.g., remembering one's past water waste; stage 2: transgression salience phase). Most of the dissonance reduction work is done through behavioural means, and leads subjects to express behavioural intentions, and/or perform behaviours in the direction of the socially desirable behaviours expressed in step 1 (i.e., allowing for the reduction of the inconsistency between the norm, step 1, and the recall of transgressions, step 2).​","Priolo et al.: Effect of induced-hypocrisy on behavioural intention: _r _= .35 [.22, .46]​; Effect of induced-hypocrisy on behaviour: _r _= .30 [.10, .48]​.​"
Social Psychology,Vicarious cognitive dissonance - induced-compliance paradigm,"Vicarious cognitive dissonance, from the cognitive dissonance theory (Festinger, 1957; see “personal cognitive dissonance”), suggests that it would be possible for an individual to experience dissonance vicariously when they witness the performance of inconsistent act (e.g., counter-attitudinal or counter-normative behaviour) on the part of an in-group member with whom they strongly identify. As a personal cognitive dissonance, the inconsistency between two cognitions (e.g., between attitude and observed behaviour) creates an unpleasant psychological state (i.e., vicarious dissonance) that the individual is motivated to reduce (e.g., by changing one of the elements to fit the other). This vicarious cognitive dissonance has been studied in the literature through different paradigms, including the following two main ones: induced-compliance and induced-hypocrisy paradigm. In this paradigm, subjects are led to observe the realisation, by a member of their in-group, of a counter-attitudinal act with their own norms or social norms (e.g., agree to perform a counter-attitudinal act), performed in a context of free choice. Dissonance can be resolved through multiple modes of reduction (e.g., social support, trivialization, ect.), but attitude change remains the most studied mode of reduction.​","Jaubert: Effect of vicarious dissonance on attitude change: _η2p _= 0.07. Jaubert et al.: Effect of vicarious dissonance toward the induced-compliance paradigm: _d _= 0.35 [0.15, 0.54]. Global effect of vicarious dissonance: _d _= 0.41  [0.27, 0.54], lower estimated effects when correcting for publication bias (_d _= 0.22 [0.008, 0.43]).​"
Social Psychology,Vicarious cognitive dissonance - induced hypocrisy paradigm,"Vicarious cognitive dissonance - Induced-hypocrisy paradigm**. In this paradigm, subjects are made to observe a member of their group becoming aware of the discrepancy between a socially desirable behaviour (e.g., not wasting water; stage 1: normative commitment phase) and their own past transgressive behaviours (e.g., remembering one's past water waste; stage 2: transgression salience phase). Most of the dissonance reduction work is done through behavioural means, and leads subjects to express behavioural intentions, and/or perform behaviours in the direction of the socially desirable behaviours expressed in step 1 (i.e., allowing for the reduction of the inconsistency between the norm, step 1, and the recall of transgressions, step 2).​","Gaffney et al.: group membership X response to the hypocrisy interaction effect on attitudes _ηp2_ =0.142 /_d_ = 0.40 [calculated from the F statistics and converted using this conversion] (replicated). Jaubert: Effect of vicarious dissonance on attitude change: _η2p _= 0.03. Jaubert et al.: Effect of vicarious dissonance toward the induced-compliance paradigm: _d _= 0.46 [0.27, 0.64]. Monin et al.: study 1 disagree versus agree condition attitude change comparison _d = _0.30 [calculated from the t-test values using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]; study 2 no consequence versus consequence condition attitude change comparison _d _= 0.46 [calculated from the t-test values using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)] (replicated). "
Social Psychology,Impostor phenomenon,"Imposter phenomenon**. People who perform outstandingly both academically and professionally believe that in fact, they are not really bright and that they have fooled anyone who thinks otherwise. This phenomenon might be especially persistent in women. Key conclusion: Therapeutic interventions might help to overcome imposter syndrome","Bravata et al.: NA but imposter phenomenon both present in men and women, particularly high among ethnic minority groups (original study mentioned white middle class women)."
Social Psychology,Ability Emotional Intelligence as a Second Stratum Factor of Intelligence,"Ability EI as a factor of intelligence. **Ability EI is a collection of cognitive abilities relating to the recognition, understanding and management of emotions. There have been many controversies in attempting to contextualise Ability EI within models of intelligence/cognitive ability. MacCann et al. (2014) empirically tested multiple models of how various cognitive abilities interact, including hierarchical and bi-factor models, and the data demonstrated closest fit to a hierarchical structure where Ability EI was contextualised as a second-stratum factor. A recent replication repeated this modelling process and drew the same conclusion","Evans et al.: NA, but [reproduced this modelling process with a new sample and drew the same conclusion](https://pubmed.ncbi.nlm.nih.gov/30730169/)."
Social Psychology,Matilda effect,Matthew Matilda effect)**.** Male scientists and masculine topics are frequently perceived as demonstrating higher scientific quality,"Knobloch-Westerwick and Glynn: Publications with female lead authors were cited 12.77 times on average (SD = 20.57), whereas publications with male lead authors were cited 17.73 times on average (SD = 35.34), _η_² = 0.006; Male-typed publications receiving significantly more citations (M = 21.04, SD = 38.63 vs. M = 14.44, SD = 28.08), _η_² = 0.006; Publications with at least one male author received significantly more citations with M = 17.11 (SD = 33.38), compared with M = 11.93 citations (SD = 19.84) for publications from female authors, _η_² = 0.006Feeley and Lee: Female lead authors were cited, on average, 19.34 times (SD = 30.22) compared to male lead authors (M = 18.05, SD = 25.98) (non-significant); Male-typed topics (M = 22.43, SD = 36.55) received more citations than female-typed topics (M= 17.87, SD = 25.80), _η_² = 0.003. Feeley and Yang: 2 out of the 8 journals examined exhibited Matilda effects. Rajko et al.: After controlling for country, the total number of papers, and the total number of views, female scholars have significantly lower levels of citations than male peers (β = −.05; p &lt; .001)."
Social Psychology,Being slightly behind increases chance of winning,Being slightly behind increases the chance of winning.** The original study has found that being slightly behind at halftime increases the chance of winning significantly in professional Basketball.​,"Teeselink et at.: With a larger sample, teams behind by one point at halftime win 5 percentage points more often than expected in the NBA (0.8 percentage points in the NCAA). The result is statistically significant for the large NBA sample (95% CI: 0.007, 0.094), but not the large NCAA sample (95% CI: −0.025, 0.041). Additionally, the replication also tests the hypothesis in other leagues and sports. Out of 12 leagues, the effect is only significant in the NBA. "
Social Psychology,Ethnoracial diversity and trust,Ethnoracial diversity negatively affects trust and social capital,"On the full-sample of the US, the authors find a similar result: trust in neighbours decreases by 0,12 in heterogeneous compared to homogeneous communities, BUT when using random subsamples of the US population, they only find a significant effect in 4 out of 30 models (average _t_=: -0,76). "
Social Psychology,Greed moderates relationship between SES and unethical behaviour,"Greed moderates the relationship between SES and unethical behaviour.** The original study found that people of higher socio-economic status are more likely to engage in unethical behaviour, but that this relationship is moderated by greed. When study participants were primed to think positively about greed, those of lower SES became more likely to engage in unethical behaviour than those of higher SES","Interaction effect between greed and SES in replication 1: unstandardized _b _=0.11 [−0.02 , 0.24], in replication 2: _b_=−0.06 [−0.16 , 0.04], in replication 3: _b_=0.01 [−0.10 , 0.12], in replication 4: _b_=0.10 [−0.10 , 0.29]. I.e., the interaction effect was not replicated in any of the four studies. "
Social Psychology,Women’s education increasing domestic violence,Women’s education increases domestic violence.** Women with more education report higher levels of psychological violence at home​,"Akyol et al.: With the same design and sample, but a different definition of rural areas, the authors find only a 0.099 standard deviation increase in reported domestic violence (SE: 0,061), which is not significant at the 5 or 10% level."
Social Psychology,Easterlin paradox,"national income associated with happiness). When comparing across countries, higher levels of income are associated with higher levels of subjective well-being, yet this association does not show up across time","Easterlin: No effect size reported, but refers to lack of association between subjective well-being and in Figure 1 for the United States. Hagerty and Veenhoven: regression coefficient _b_=1.26 [Z-statistic=2.67]. Sacks et al.: _β_=0.505, SE=0.109 for the World Values Survey, _β_=0.278, SE=0.164 for the Eurobarometer. Veenhoven and Hagerty: No effect size reported, but Tables 1 to 4 report trends. "
Social Psychology,Humour style clusters,"A number of works have attempted to determine whether individuals can be categorised into different types of humour user. The first was by Galloway (2010) and suggested four types of humour user through use of cluster analysis: (1) above average on all of the styles, or (2) below average on all of the styles, or (3) above average on the positive styles (Affiliative and Self-enhancing), and below average on the negative styles (Aggressive and Self-defeating), or (4) above average on the negative styles and below average on the positive styles","Chang et al.: NA, but the four-cluster solution described was replicated. Evans and Steptoe-Warren: three managerial humour clusters. Evans et al.: inconsistencies in the humour style profiles across countries tested and the extant literature, possibly indicative of cultural differences in the behavioural expression of trait humour. Fox et al.: NA, the presence of distinctive humour types in childhood. Leist and Muller: evidence for three humour types (endorsers, humour deniers, and self-enhancers). Sirigatti et al.: three humour styles identified. "
Social Psychology,Social referencing effect,"Crosby et al. (2008) found that hearing an offensive remark caused subjects to look longer at a potentially offended person, but only if that person could hear the remark. On the basis of this result, they argued that people use social referencing to assess the offensiveness","Jonas and Skorinko: _F_(1.86, 101.7) = 0.07, _p_=0.917. Rabagliati et al: χ2(3) = 22.11, _p_ &lt; .001, pseudo-_R2_ = .85; χ2(3) = 22.11, _p_ &lt; .001, pseudo-_R2_ = .85."
Social Psychology,Other-race effect,"cross-race effect, own-race bias). Humans are better at distinguishing between faces of two individuals of their own race than two faces of another race",Lee and Penrod: Hedge’s _g_=0.54.
Social Psychology,Unethical amnesia,Memories of unethical behaviour are less clear and vivid than memories of good deeds.​​,"Stanley et al.: no significant differences in objective memory score between participants who read the vignette depicting the ethical behaviour versus the unethical cheating behaviour, Study 1 - _d_ = .26 (n.s.), Study 2 - _d_ = .04 (n.s.), Study 3 - _d_ = .17 (n.s.)."
Social Psychology,Feeling dirty after networking,"People feel uncomfortable networking because networking triggers a state of “moral impurity,” which translates into feelings of “dirtiness” and a heightened desire for “cleansing”",Ziani: _d_=0.02 to _d_=0.51.
Social Psychology,Public exposure influences shame/guilt differently,Public exposure influences shame and guilt differently. **Public exposure (implicit and explicit) of transgression increases experienced shame more than guilt,"Zhang: Study 1 - shame _ηp2_=.14 [.11, .17] and guilt _ηp2_=.13 [.10, .16]."
Social Psychology,Drunk utilitarian,People are more likely to accept harm for the greater good when they are under the influence of alcohol,"Arutyunova et al.: no differences in moral judgments under the influence of alcohol and while being sober, _d_= 0.027 [calculated from the reported _t_(39)=0.173, _p_=0.863 using[ this conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. Francis et al.: ES not reported, but moral judgements did not significantly differ across experimental conditions (placebo/low alcohol/high alcohol). Paruzel-Czachura et al.: no significant main effect of Alcohol Group on three moral judgements measures: Trolley problems, _ηp2_ = .017, CNI dillemas, _ηp2_ = .008, or Oxford Utilitarianism Scale, _ηp2_ = .000.​"
Social Psychology,Beauty is good stereotype in autistic individuals,Autistic individuals judge faces on beauty as well as neurotypical individuals,Da Fonseca et al.: _ηp2  _= 0.15 [_ηp2 _calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]
Social Psychology,Cognitive ability and prejudice,Lower cognitive ability is associated with higher prejudice towards minority groups.​,"All reported in Onraet et al.: Sidanius & Lau: _r_ = -0.18. Schoon et al.: _r_ = -0.15 to _r_ =-0.17. Deary et al.: _r_ = -0.12 to _r= _-0.13. Bobo & Licari: _r_ = -0.22. Vezzalli et al.: _r_ = 0.06 to _r_ =-0.130. Hello et al.: _r_ = -0.17. Keiller: _r_ = -0.36. Von Stupnagel & Steffens: _r_ = -0.13. Costello & Hodson:_ r_ =-0.39 to _r_ = -0.45. Overall: _r_ = -0.16 [-0.216, -0.158]."
Social Psychology,Reading and theory of mind,"Reading fiction improves social cognition, i.e. understanding of others’ cognitive and emotional states. ​","Panero et al.: RMET – literary fiction vs. nonfiction, _d_= -.08 [-.15, .32], literary fiction vs. popular fiction, _d_= .04 [-.19, .26], literary fiction vs. no reading, _d_= .10 [-.10, .30]; ART – literary fiction vs. nonfiction, _r_= .44 [.37, .51], literary fiction vs. popular fiction, _r_= .50 [.41, .58], literary fiction vs. no reading, _r_=.51 [.45, .58]. Samur et al.: RMET – Condition main effect _ηp2_ = .00 (experiment 1), _ηp2_ = .02 (experiment 2), _ηp2_ = .00 (experiment 3), _ηp2_ = .01 (experiment 4) (all n.s.); ART and RMET – _r_ = .38 (experiment 1); _r_ = .32 (experiment 2), _r_ = .37 (experiment 4); overall, significant main effect for author recognition, _ηp2_ = .20, no main effect of condition, _ηp2_ = .00, and no interaction effect, _ηp2_ = .00; no differences between literary fiction and non-fiction, _ηp2_= .00, popular fiction, _ηp2_ = .00 and non-reading, _ηp2_ = .01. Van Kuijk et al.: RMET – Condition main effect _ηp2_ = .031; Yoni Task – Condition main effect _ηp2_ = .019. Kidd & Castano: RMET – Condition main effect _ηp2_ = .002 [.000, .027] (experiment 1), _ηp2_ = .000 [.000, .006] (experiment 2), _ηp2_ = .014 [.000, .048] (experiment 3); ART main effect - _ηp2_ = .156 [.081, .236] (experiment 1), _ηp2_ = .009 [.000, .042] (experiment 2), _ηp2_ = .009 [.000, .042] (experiment 3); Moral Judgment Task (MJT) – Condition main effect _ηp2_ = .032 [.003, .086] (experiment 1), _ηp2_ = .091 [.039, .154] (experiment 2), _ηp2_ = .011 [.000, .042] (experiment 3); ART main effect - _ηp2_ = .156 [.081, .236] (experiment 1), _ηp2_ = .066 [.022, .124] (experiment 2), _ηp2_ = .067 [.024, .122] (experiment 3); Character Clarity Scale – Condition main effect _ηp2_ = .017 [.000, .055] (experiment 2), _ηp2_ = .013 [.000, .047] (experiment 3); ART main effect - _ηp2_ = .000 [.000, .019] (experiment 2), _ηp2_ = .000 [.000, .014] (experiment 3). Dodell-Feder & Tamir: meta-analytic estimate _g _= .15 [.03, .027]. "
Social Psychology,Morning morality effect,"Normal, unremarkable experiences associated with everyday living can deplete one’s capacity to resist moral temptations. People were more likely to lie and cheat in the afternoon than in the morning.​","Jiang et al.: Study 1 – _g_ = 0.01 [-0.13, 0.16]; Study 2 – _g_ = 0.03 [-0.16, 0.22] (College sample), _g_ = -0.18 [-0.39, 0.03] (Inmate sample). All reported in Jiang et al.: Mozgai et al.:_ g_ = 0.47 [-0.06, 0.99]. Liu et al.: _g_ = 0.45 [-0.05, 0.94] (Study 1), _g_ = 0.44 [-0.19, 1.06] (Study 3). Ingram et al.: _g_ = 0.43 [-0.05, 0.91]. Gächter & Schulz: _g_ = 0.21 [-0.30, 0.71] (Czech R.), _g_ = 0.20 [-0.12, 0.53] (Guatemala), _g_ = 0.19 [-0.34, 0.73] (Morocco), _g_ = 0.07 [-0.31, 0.45] (Turkey), _g_ = 0.05 [-0.44, 0.53] (Austria), _g_ = 0.21 [-0.30, 0.71] (Georgia), _g_ = -0.04 [-0.74, 0.67] (Spain), _g_ = -0.06 [-0.46, 0.35] (Vietnam), _g_ = -0.07 [-0.48, 0.35] (Slovakia), _g_ = -0.10 [-0.37, 0.17] (China), _g_ = -0.16 [-0.44, 0.12] (UK), _g_ = -0.20 [-0.63, 0.23] (Netherlands), _g_ = -0.23 [-0.72, 0.27] (Kenya), _g_ = -0.25 [-0.74, 0.25] (Germany), _g_ = -0.26 [-0.70, 0.18] (Sweden). Gunia et al.: _g_ = -0.01 [-0.41, 0.39]. Roeser et al.: _g_ = 0.03 [-0.31, 0.36]. Arechar et al.: _g_ = 0.00 [-0.08, 0.08]. Jiang et al.: _g_ = -0.03 [-0.56, 0.50]. Vranka et al.: _g_ = -0.13 [-0.37, 0.12]. Cornwell et al.: _g_ = -0.43 [-0.83, 0.03]. Overall meta-analytic effect _g_ = -0.04 [-0.04, 0.11]."
Positive Psychology,Power pose,"Taking on a power pose lowers cortisol and risk tolerance, while it raises testosterone and feelings of power","Garrison et al.: feeling of power: _ηp2_ = .016. Metzler and Grezes: cortisol: _ηp2 _= 0.02, testosterone: _ηp2 _= 0.01. Ranehill: cortisol: _d_ = -0.157, feelings of power: _d_ = 0.34; risk taking: _d_ = -0.176, testosterone: _d_ = -0.200. Ronay: cortisol: _d_ = 0.034, feeling of power: _d_ = 0.226, testosterone: _d_ = 0.121."
Positive Psychology,Facial Feedback,"Smiling causes a good mood, while pouting produces a bad mood","Wagenmakers et al.: 0.03 out of 9, CI overlapping 0. Coles et al.: [A meta-analysis of 98 studies](https://psyarxiv.com/svjru/) finds _d_= 0.2 [0.14, 0.26] with an absurdly low p value, and doesn't find publication bias. But this latter point simply can't be right. Given _d_ = 0.2 and the convention of targeting 80% power to detect a real phenomenon, you would need very high sample sizes, n > 500. And almost all of the included studies are N &lt; 100. All reported in Coles et al.: Andréasson & Dimberg: _d_=-0.22. Andréasson: _d_=-0.05 to _d_ =0.49. Baumeister et al.: _d_=0.63 to _d_ =1.26. Bodenhausen et al.: _d_ =0.55. Bush et al.: _d_ =0.16. Butler et al.: _d_ =-0.1 to _d_ =-0.83. Butler et al.: _d_ =-0.03. Cai et al.: _d_ =-0.08. Ceschi & Scherer: _d_ =0.74. Clapp: _d_ =0.08 to _d_ =0.69. Laird & Crosby: _d_ =-0.13 to _d_ =0.35. Davey et al.: _d_ =-0.25 to _d_ =0.73. Davis: _d_ =-0.19 to _d_ =0.99. Davis: _d_ =-0.19 to _d_ =0.87. Davis et al.: _d_ =0.07 to _d_ =0.51. Davis et al.: _d_ =-0.15 to _d_ =0.1. Davis et al.: _d_ =-0.16. Demaree et al.: _d_ =0.16 to _d_ =0.62. Demaree et al.: _d_ =-0.64 to _d_ =0.06. Dillon et al.: _d_ =0.11. Dimberg & Söderkvist: _d_ =0.1 to 0.51. Duncan & Laird:_ d_ =0.38 to _d_ =0.51. Duncan & Laird: _d_ =0.44 to _d_ =0.59. Dzokoto et al.: _d_ =0.2 to _d_ =1.07. Flack, Laird & Cavallaro: _d_ =-0.49 to _d_ =1.31. Flack, Laird & Cavallaro: _d_ =0.29 to _d_ =1.41. Flack: _d_ =0.35 to _d_ =0.72. Gan et al.: _d_ =-0.11. Goldin et al.: _d_ =0.8. Gross & Levenson: _d_ =0.04 to _d_ =0.37. Gross: _d_ =-0.23 to _d_ =0.37. Gross: _d_ =0.18. Harris: _d_ =0.07. Hawk et al.: _d_ =0.85. Helt & Fein: _d_ =0.42. Hendricks & Buchanan: _d_ =-0.08. Hendricks: _d_ =0.02. Henry et al.: _d_ =-0.49 to _d_ =0.25. Henry et al.: _d_ =-0.05 to d_ d_ 0.53. Hess et al.: _d_ =-0.28 to _d_ =0.14. Hofmann et al.: _d_ =-0.03. Ito et al.: _d_ =-0.39 to _d_ =-0.25. Kalokerinos et al.: _d_ =-0.06 to _d_ =1.32. Kao et al.: _d_ =-0.67 to _d_ =0.98. Kircher et al.: _d_ =1.14 to _d_ =1.89. Korb et al.: _d_ =0.21. Labott & Teleha: _d_ =0.04 to _d_ =0.91. Laird: _d_ =0.13 to _d_ =0.55. Lalot et al.: _d_ =-0.17. Larsen et al.: _d_ =0.43. Lee: _d_ =-0.27 to _d_ =0.48. Lewis & Bowler: _d_ =1.35. Lewis: _d_ =0.56 to _d_ =0.71. Ma: _d_ =-0.21. Maldonado et al.: _d_ =0.12. Marmolejo-Ramos & Dunn: _d_ =-0.07 to _d_ =0.38. Martijn et al.: _d_ =-0.24. McCanne & Anderson: _d_ =-2.16 to _d_ =4.73. McCaul et al.: _d_ =0.25. McIntosh et al.: _d_ =0.54. Meeten et al.: _d_ =0.49. Miyamoto: _d_ =0.49 to _d_ =0.17. Moore & Zoellner: _d_ =-0.87. Kappas: _d_ =0.08 to _d_ =0.74. Ohira & Kurono: _d_ =-1.38 to _d_ =1.23. Paredes et al.: _d_ =0.85. Paul et al.: _d_ =0.91. Pedder et al.: _d_ =0.07 to _d_ =0.22. Phillips et al.: _d_ =0.08 to _d_ =0.18. Reisenzein & Studtmann: _d_ =-0.08 to _d_ =0.034. Richards, Butler & Gross: _d_ =-0.12 to _d_ = 0.19. Richards & Gross: _d_ =-0.1 to d=0.36. Richards & Gross: _d_ =-0.12 to _d_ =0.39. Richards & Gross: _d_ =0.34. Roberts et al.: _d_ =0.07. Robinson & Demaree: _d_ =-0.04 to _d_ =0. Roemer: _d_ =0.29 to _d_ =0.58. Rohrmann et al.: _d_ =0.13 to _d_ =0.16. Rummer et al.: _d_ =0.46 to _d_ =0.57. Schmeichel , Vohs, & Baumeister: _d_ =-0.23. Schmeichel et al.: _d_ =0.1. Söderkvist & Dimberg (unpublished): _d_ =0.36. Söderkvist et al.: _d_ =0.17 to _d_ =0.34. Soussignan: _d_ =-0.17 to _d_ =1.11. Stel et al.: _d_ =1 to _d_ =1.11. Strack et al.: _d_ =-0.51 to _d_ =0.55. Tamir et al.: _d_ =-0.16. Tourangeau & Ellsworth: _d_ =0.3. Trent: _d_ =-0.22 to _d_ =-0.06. Vieillard et al.: _d_ =-0.12 to _d_ =0.66. Wagenmakers et al.: _d_ =-0.17 to _d_ =0.25. Wittmer: _d_ =-0.36 to _d_ =-0.21. Yartz: _d_ =-0.18 to _d_ =0.5. Zajonc et al.: _d_ =0.31 to _d_ =1.27. Zariffa et al.: _d_ =-0.57 to _d_ =-0.14. Zhu et al.: _d_ =1.74. [Schimmack](https://replicationindex.com/2017/09/04/the-power-of-the-pen-paradigm-a-replicability-analysis/): strong evidence of publication bias on a subset of these papers, using a proper power analysis. Direct replications of the original pen-in-mouth protocol fail; but new conceptual replications appear to work. [Coles et al.:](https://www.nature.com/articles/s41562-022-01458-9) effect is an absolute 5% increase in a happiness metric."
Positive Psychology,Positive affirmation on mood,Positive self-statements boost mood for people with high self-esteem and reduce mood for people with low self-esteem,Flynn and Bordieri: Study 1: not reported [_g_ = 0.53 calculated]; Study 2: not reported [_g_ = 1.00 calculated].
Positive Psychology,Mindfulness for mental health,"Mindfulness, the practice of paying attention to the present moment in a non-judgemental way, is thought to have a beneficial effect on mental health outcomes, including but not limited to helping individuals reduce stress and anxiety and manage emotional states more effectively","[Fumero et al:](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8314302/) 75% (9/12) of reviews revealed a positive effect of MBIs, comparing pre-post intervention anxiety scores and compared with a control group (SMD) = 0.57 [0.22, 0.89]; for those with negative results, SMD = -0.27 [-0.52, 0.02]. The range of effect size for studies that yielded positive results for mindfulness in comparison to control or other intervention groups was diverse. 20% of studies exhibited a large range of effect size, 50% displayed a moderate range, and 30% demonstrated a small range. Khoury et al.:meta-analysis on pre-post-comparisons revealed a mean effect size on anxiety for ten pre-post studies, Hedge's g = .89 [.71, 1.08], p &lt;.001. [Hoffmann & Witt](http://europepmc.org/article/MED/20350028): average pre-post effect size estimate (Hedges’ g) based on 10 studies was 0.67 [0.47, 0.87], p &lt; .01). Tao et al.: the effects of MBIs (MBSR: Mindfulness-based Stress Reduction, MBCT: Mindfulness-based Cognitive Therapy) on depressive poststroke patients has revealed a positive effect on depression in poststroke depression patients compared with the control group (MBSR: n= 196, Hedges' g = 0.49 [0.42, 0.56], p &lt; 0.01; MBCT: n= 301, Hedges' g = 0.85 [0.71, 1.00], p &lt; 0.01. . [Chayadi et al.:](https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0269519) the medium effect sizes of MBIs on reducing anxiety (Hedges’ g = 0.56, S.E = 0.107 [0.35, 0.77], p &lt; 0.01) and depression (Hedges’ g = 0.43, S.E = 0.059 [0.32, 0.55], p &lt; 0.01) among cancer patients with fatigue. [Strauss et al.:](https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0096110)the medium effect sizes of MBIs for depressive symptom severity (Hedges g = −0.73  [−0.09,  −1.36] but not for anxiety symptom severity (Hedges g = −0.55  [0.09 to −1.18] among cancer patients . Coronado-Montoya: indications of possible reporting bias; 108 (87%) of 124 published trials reported ≥1 positive outcome in the abstract, and 109 (88%) concluded that mindfulness-based therapy was effective, 1.6 times greater than the expected number of positive trials based on effect size d = 0.55 (expected number positive trials = 65.7); of 21 trial registrations, 13 (62%) remained unpublished 30 months post-trial completion. Britton: ES=NA; a number of mindfulness-related processes—including, mindful attention (observing awareness, interoception), mindfulness qualities, mindful emotion regulation (prefrontal control, decentering, exposure, acceptance), and meditation practice—show signs of non-monotonicity, boundary conditions, or negative effects under certain conditions. Hsiao et al.: the effects of Mindfulness-Based Relapse Prevention for Substance Use Disorders were small-to-medium in Study 1 (d = .08 to .48) and were much smaller in Study 2 (d =.03 to .21). Kuyken et al.: no evidence of school-based mindfulness training being superior to teaching-as-usual at 1 year; standardised mean differences (intervention minus control) were: 0.005 [-0.05 to 0.06] for risk for depression; 0.02 [-0.02 to 0.07] for social-emotional-behavioural functioning; and 0.02 [-0.03 to 0.07] for well-being. Sephton et al.: The MBSR treatment significantly reduced basal electrodermal (skin conductance level; SCL) activity (t = 3.298, p = .005) and SCL activity during meditation (t = 4.389, p = .001), consistent with reduced basal sympathetic (SNS) activation among women with fibromyalgia. "
Positive Psychology,Grit and Well-being,"Grittier people, those pursuing long-term goals with perseverance and passion, have greater subjective well-being","Datu et al.: only one grit component, perseverance, positively predicted life satisfaction, β=.43 (study 1) and β=.52 (study 2). Akbag & Ümmet: β=.21. Kwon: Grit and life satisfaction _b_ = 0.176 (n.s.) to 0.561 (USA) and _b_ = 0.095 (n.s.) to 0.718 (South Korea); Perseverance and life satisfaction _b_ = 0.331 to 0.526 (USA) and _b_ = 0.090 (n.s.) to  0.456 (South Korea); Consistency and life satisfation _b_ = -0.095 (n.s.) to 0.085 (n.s.) (USA) and _b_ = 0.002 (n.s.) to 0.250 (n.s.) (South Korea). Disabato et al.: general grit with life satisfaction _r_ = .24 and subjective happiness _r_ = .31; perseverance of effort with life satisfaction _r_ = .29 and subjective happiness _r_ = .37; consistency of interests with life satisfaction _r_ = .10 and subjective happiness _r_ = .14. Jiang et al.: grit and life satisfaction β = .27 (Study 1) and _b_ = 0.75 (Study 2). Hou et al.: overall grit and SWB ρ (estimated population correlation) = .46 [.43, .48], perseverance of effort ρ = .38 [.33, .43], consistency of interest ρ = .23 [.17, .28].​"
Cognitive Psychology,Verbal overshadowing effect,"In a series of six experiments, verbalising the appearance of previously seen visual stimuli impaired subsequent recognition performance","Alogna: Experiment 1: −4.01% [−7.15%, −0.87%]. Experiment 2: −16.31% [−20.47%, −12.14%]."
Cognitive Psychology,Age of acquisition effects - influence on free recall (pure block),Early-acquired items are recalled more accurately than late-acquired items when early-acquired items are presented in a separate block and late-acquired items are presented in a separate block,Almond and Morrison: _η_² = .111. Dewhurst et al.: _F_ &lt; 1. Macmillan et al.: _ηp_² = 0.008.
Cognitive Psychology,Age of acquisition effects - influence on free recall (mixed block),Early-acquired items are recalled more accurately than late-acquired items when early-acquired items are mixed with late-acquired items in a block,"Elsherif et al. (2023): Unspaced: _d_ = 0.65 [d_ _calculated from reported t statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)], Spaced: _d_ = 0.58 [d_ _calculated from reported t statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].  Macmillan et al.: _ηp_² = 0.003."
