Discipline,Effect,Description,Paper title,Paper ref,Link,doi,Paper Notes,Citations,N orig
Social Psychology,Honesty priming,"​​Honesty priming** (goal-priming, social priming). An increased level of honesty to embarrassing behaviours after exposure to honesty-related words",Using implicit goal priming to improve the quality of self-report data,Rasinski et al. 2005,https://www.sciencedirect.com/science/article/abs/pii/S0022103104000794?via%3Dihub,,"between-subjects, n = 64","111 (GS, October 2022)",64
Social Psychology,Achievement priming,"goal priming, high-performance goal priming). Exposing individuals to words that are success oriented (e.g., win, strive) will increase their performance on a task compared to those exposed to neutral words (e.g., carpet, shampoo).​",The Automated Will: Nonconscious Activation and Pursuit of Behavioral Goals,Bargh et al. 2001,https://doi.org/10.1037/0022-3514.81.6.1014,10.1037/0022-3514.81.6.1014,"between-subjects, Experiment 1: n=78, Experiment 2: n=60, Experiment 3: n=288, Experiment 4: n=76, Experiment 5: n=65","2,987 (GS, October 2022)",78 & 60 & 288 & 76 & 65
Social Psychology,Weapons priming effect,"weapons effect). Stimuli or cues associated with aggression, such as weapons, can elicit aggressive responses",Weapons as aggression-eliciting stimuli,Berkowitz and LePage 1967,https://doi.org/10.1037/h0025008,10.1037/h0025008,"between-subjects design, n = 100 (male university students)","1161 (GS, October 2022)",100
Social Psychology,Goal priming effect,"goal contagion, goal inspiration, behavioural inspiration). The observation of other’ behaviour (e.g., your observe someone jogging in the park) may lead to the inference of the goal in the observer (“This person wants to keep fit.”) and to the adoption of the same goal (“Maybe I should do some sports too.”",Goal Contagion: Perceiving Is for Pursuing,"Aarts, Gollwitzer and Hassin 2004",https://doi.org/10.1037/0022-3514.87.1.23,10.1037/0022-3514.87.1.23,"Study 1, 2 (need for money: high vs low) x 2 (goal: money vs control) between-subjects ANOVA with dependent variable of earning money goal; note: the main effect of the manipulation is of interest, n=83","824(GS, December 2022)]​",83
Social Psychology,Olfactory priming of cleaning behaviour,"scent priming, sensory priming). People who were exposed to a lemon scent were more likely to engage in a range of cleaning-related behaviours and have more rapid access to cleaning-related concepts, compared to people who were not exposed to a lemon-scent. This finding suggests that olfactory cues can be processed unconsciously and impact people’s cognition and downstream behaviour",Smells Like Clean Spirit: Nonconscious Effects of Scent on Cognition and Behavior,Holland et al.  2005,https://journals.sagepub.com/doi/full/10.1111/j.1467-9280.2005.01597.x,10.1111/j.1467-9280.2005.01597.x,"between-participants design, Experiment 1: n=50, Experiment 2: n=56, Experiment 3: n=22","616 (GS, July 2023)]​",50 & 56 & 22
Social Psychology,Verbal framing (temporal tense),Participants who read what a person **was doing** (relative to those who read what person **did**) showed enhanced accessibility of intention-related concepts and attributed more intentionality to the person,Learning about what others were doing: Verb aspect and attributions of mundane and criminal intent for past actions,Hart and Albarracin 2011,https://journals.sagepub.com/doi/full/10.1177/0956797610395393,10.1177/0956797610395393,"3 experiments with Experiment 1: n = 5458, Experiment2: n = 37, Experiment 3: n = 48","37 (GS, January 2022)",5458 & 37 & 48
Social Psychology,Reference framing,"Risk preferences change depending on whether a choice is presented in terms of gains or losses, even when the prospects of the options are held constant.​",Prospect Theory: An analysis of decisions under risk,Kahneman and Tversky 1979,http://hassler-j.iies.su.se/COURSES/NewPrefs/Papers/KahnemanTversky%20Ec%2079.pdf,,"between-subject manipulation of choice problems, Problem 12 n = 68, Problem 13 n = 68","76,664(GS, March 2023)]​",68 & 68
Social Psychology,Prosocial spending,Spending money on other people leads to greater happiness than spending money on oneself,Spending Money on Others Promotes Happiness,"Dunn et al. , 2008",https://www.science.org/doi/epdf/10.1126/science.1150952,10.1126/science.1150952,"cross-sectional survey, n=632","2008 (GS, March 2022)",632
Social Psychology,Gustatory disgust on moral judgement,Gustatory disgust triggers a heightened sense of moral wrongness,A Bad Taste in the Mouth: Gustatory Disgust Influences Moral Judgment,Eskine et al. 2011,https://journals.sagepub.com/doi/full/10.1177/0956797611398497?casa_token=pdUGVH_hLT0AAAAA%3A7aEiTY9e2JbJX1tRFDgpo8y-x-ftNpNfV2r2bbY2tRqtgXij0O6PfM7mBzIvKjZg4dbvzLrbo2ACMw,10.1177/0956797611398497?casa_token=pdUGVH_hLT0AAAAA:7aEiTY9e2JbJX1tRFDgpo8y-x-ftNpNfV2r2bbY2tRqtgXij0O6PfM7mBzIvKjZg4dbvzLrbo2ACMw,"experiment, n = 57","564 (GS, January 2022)",57
Social Psychology,Macbeth effect,Moral aspersions induce literal physical hygiene,Washing away your sins: threatened morality and physical cleansing,Zhong and Liljenquist 2006,https://www.ncbi.nlm.nih.gov/pubmed/16960010,,"4 experiments with Study 1: n=60, Study 2: n=27, Study 3: n=32, Study 4: n=45","1407 (GS, January 2022)",60 & 27 & 32 & 45
Social Psychology,Signing at the beginning rather than end makes ethics salient,Signing a statement of honest intent before providing information rather than after can reduce dishonesty,Signing at the Beginning Makes Ethics Salient and Decreases Dishonest Self-reports in Comparison to Signing at the End,"Shu et al., 2012",https://www.pnas.org/content/109/38/15197.short,,"lab and field experiments, Study 1: n = 101; Study 2: n = 60; Study 3: n = 13.488","465 (GS, February 2022)]​",101 & 60 & 13.488
Social Psychology,Social class on prosocial behaviour,"Individuals from a high social class are more likely to exhibit prosocial behaviour than those from a low social class, but there is a U-shaped curve between social class and prosocial behaviour that sometimes appears",Volunteering in public health: An analysis of volunteers characteristics and activities,"Ramirez-Valles, 2006",https://www.ijova.org/docs/IJOVA_VOL24_NO2_Ramirez-Valles_VolunteeringinPublicHealth.pdf,,"random-digit dialling in Illinois, US, n = 609","9 (GS, June 2022)",609
Social Psychology,Stanford Prison Experiment,"employed a simulation of a prison environment to  examine the psychological effects of coercive situations. Utilising role-playing, labelling and social expectations it showed that one third of participants in the role of prison guards displayed aggressive and dehumanising behaviour",Interpersonal dynamics in a simulated prison,"Haney, Banks, Zimbardo 1973",http://pdf.prisonexp.org/ijcp1973.pdf,,"experimental and observational study, n=24","2115 (including highly referenced publications), (GS, January, 2022)",24
Social Psychology,Milgram experiment,"was a study examining the influence of authority on immoral behaviour. Participants were assigned the role of ‘teachers’ and they were instructed by the experimentator to administer electric shocks** **of** **15-450 V voltage, whenever the ‘learner’  made a mistake. There were various variants of the study. In the most basic one, 100% of participants agree to administer a 300 V shock and 65% agreed to apply to maximum shock of 450 V",Behavioral Study of obedience,Milgram 1963,https://psycnet.apa.org/record/1964-03472-001,,"experimental study, n=40 (The full range of conditions was [n=740](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3976349/).)","8502(GS, March 2023)",40 & 740
Social Psychology,Robbers Cave Study,"Utilised arbitrary groupings to demonstrate that tribalism between groups arises spontaneously, and depending on the context, it can result in group competition (e.g., in case of scarce resources) or group cooperation (e.g., in case of superordinate goals and common obstacles",Superordinate Goals in the Reduction of Intergroup Conflict,Sherif 1958,https://sci-hub.se/10.1086/222258,10.1086/222258,"field experiment, n=22","1,010(GS, February, 2022)]. In addition to the original paper, some related books from the author(s) are also highly cited including: [Groups in harmony and tension](https://psycnet.apa.org/record/1954-02446-000), Sherif & Sherif 1958 [citations=2,280 (GS, February, 2022)] and [Intergroup Conflict and Co-operation](https://books.google.co.uk/books?hl=en&lr=&id=24TwCQAAQBAJ&oi=fnd&pg=PP1&dq=Group+Conflict+and+Co-operation+&ots=ufwdngs5bi&sig=qxT2o26vEi7KdeJxWNqfSYHdaSM&redir_esc=y#v=onepage&q=Group%20Conflict%20and%20Co-operation&f=false), Sherif et al. 1961 [citations= 253, (GS, February, 2022)]. Overall, the effect accounts to more than 4000 total citations including the [SciAm piece](http://patrick-fournier.com/d/cours13-3140.pdf)",22
Social Psychology,Digital technology use and adolescent wellbeing,Adolescents who spend more time on new media (including social media and electronic devices such as smartphones) are more likely to report mental health issues,"Increases in depressive symptoms, suicide-related outcomes, and suicide rates among U.S. adolescents after 2010 and links to increased new media screen-time",Twenge et al. 2010,https://journals.sagepub.com/doi/abs/10.1177/2167702617723376,10.1177/2167702617723376,"cross-sectional survey, n=506,820","910 (GS, February, 2022)","506,820"
Social Psychology,Anthropomorphism,"Individuals who are lonely are more likely than people who are not lonely to attribute humanlike traits (e.g., free will) to nonhuman agents (e.g., an alarm clock),to fulfil unmet needs for belongingness","Creating Social Connection Through Inferential Reproduction: Loneliness and Perceived Agency in Gadgets, Gods, and Greyhounds",Epley et al. 2008,https://journals.sagepub.com/doi/full/10.1111/j.1467-9280.2008.02056.x?casa_token=wB20P1GmttgAAAAA%3AxfhrS3yxTMyXdT6JCYs-dfwEmcJZ01bNYn_KP3PxW2a2YOQcIfqT6FSAItyLQEFUSBenEvvElA1n,10.1111/j.1467-9280.2008.02056.x?casa_token=wB20P1GmttgAAAAA:xfhrS3yxTMyXdT6JCYs-dfwEmcJZ01bNYn_KP3PxW2a2YOQcIfqT6FSAItyLQEFUSBenEvvElA1n,"experimental design, n=20 for experiment 1, n=99 for experiment 2, n =57 for experiment 3","722 citations, (GS, March 2022)",20 & 99 & 57
Social Psychology,Female-named hurricanes are more deadly than male-named ones,"Original effect size was a 176% increase in deaths, driven entirely by four outliers; reanalysis using a greatly expanded historical dataset found a nonsignificant decrease in deaths from female named storms",Female hurricanes are deadlier than male hurricanes,Jung 2014,https://www.pnas.org/content/111/24/8782,,"observational study, n=92 hurricanes discarding two important outliers","113(GS, Mar 2022)",92
Social Psychology,Implicit bias testing for racism,"Implicit bias scores poorly predict actual bias, _r_ = 0.15. The operationalisations used to measure that predictive power are often unrelated to actual discrimination (e.g. ambiguous brain activations). Test-retest reliability of 0.44 for race, which is usually classed as “unacceptable”. This isn’t news; the original study also found very low test-criterion correlations",Measuring individual differences in implicit cognition: The implicit association test,Greenwald 1998,https://groups.psych.northwestern.edu/rosenfeld/documents/greenwald98IAT.pdf,,"experimental study, n=28 for Experiment 3","16,144(GS, March 2023)",28
Social Psychology,Pygmalion effect,"Rosenthal Effect, self-fulfilling prophecy). Expectations about performance (e.g., academic achievement) impact performance. Specifically, teachers' expectations about their students’ abilities affect those students’ academic achievement; teacher beliefs impact their behaviour which in turn impacts student beliefs and behaviour",Pygmalion in the classroom,Rosenthal and Jacobson 1968,https://doi.org/10.1007/bf02322211,10.1007/bf02322211,"between-subjects experiment, N = 320","13625 (GS, January 2023)]. [Teachers expectancies: Determinants of pupils IQ gains](https://journals.sagepub.com/doi/10.2466/pr0.1966.19.1.115), Rosenthal and Jacobson 1966, n around 320. [citations=881, but the [popularisation](https://link.springer.com/article/10.1007/BF02322211) has 13,792 (GS, March 2023)",320
Social Psychology,Stereotype threat on Asian women’s mathematical performance,"stereotype lift), i.e. the interaction between race, gender and stereotyping. This study found that Asian-American women performed better on a maths test when their ethnic identity was activated, but worse when their gender identity was activated, compared with a control group who had neither identity activated",Domain-specific Effects of Stereotypes on Performance,Shih et al.1999,https://journals.sagepub.com/doi/10.1111/1467-9280.00111,10.1111/1467-9280.00111,"two between-subjects experiments, n1=46, n2=19","2,073 (GS, March 2023)",
Social Psychology,Stereotype threat on girls’ mathematical performance,"A situational phenomenon whereby priming a negative gender stereotype (e.g., “women are bad at maths”) has a detrimental impact on mathematical performance",Stereotype Threat and Womens Math Performance,Spencer et al. 1999,https://www.sciencedirect.com/science/article/abs/pii/S0022103198913737,,"Experiment 2, n=30 women","5076 (GS,  June 2022)",30
Social Psychology,Increase in narcissism,"leadership, vanity, entitlement) in young people over the last thirty years. It's [an ancient hypothesis.](https://quoteinvestigator.com/2010/05/01/misbehave) The basic counterargument is that they’re misidentifying an age effect as a cohort effect (The narcissism construct [apparently](https://journals.sagepub.com/doi/abs/10.1177/1745691609357019) decreases by about a standard deviation between adolescence and retirement.) “every generation is Generation Me”",The Evidence for Generation Me and Against Generation We,Twenge 2013,https://journals.sagepub.com/doi/full/10.1177/2167696812466548,10.1177/2167696812466548,"review of  various studies, including national surveys","251(GS, March 2022)",
Social Psychology,Minimal group effect (MGE),"Minimal group effect** **(MGE)** (Minimal group paradigm). An intergroup bias that manifests as ingroup favouritism (i.e., a tendency to prefer ingroup members) when participants are assigned to previously unfamiliar, experimentally created and largely meaningless social identities. In essence, the paradigm investigates the impact of social categorization on intergroup relations in the absence of realistic conflicts of interests, showing that mere social categorization is sufficient to produce ingroup favouritism",Arousal of ingroup-outgroup bias by a chance win or loss,Rabbie and  Horwitz 1969,https://psycnet.apa.org/record/1970-02282-001,,"experimental study, n=112","679 (GS, January 2023)",112
Social Psychology,Solomon Asch’s conformity,study. **The degree to which a person's own opinions are influenced by those of a group,Studies of independence and conformity: I. A minority of one against a unanimous majority of one against a unanimous majority,"Asch, 1956",https://eclass.uowm.gr/modules/document/file.php/NURED262/%CE%A0%CE%A1%CE%A9%CE%A4%CE%9F%CE%A4%CE%A5%CE%A0%CE%91%20%CE%91%CE%A1%CE%98%CE%A1%CE%91/Asch%20studies%20in%20independence%20and%20conformity%201956%20PM.pdf,,"experimental design, n = 123","6558, GS, October 2021]​",123
Social Psychology,Dynamic norms,Information about increasing minority norms increases interest/engagement in minority behaviour.​,"Dynamic Norms Promote Sustainable Behavior, Even if It Is Counternormative","Sparkman and Walton, 2017",https://brooketully.com/wp-content/uploads/2020/04/DynamicNorms_Sparkman17.pdf,,"three online and two field experiments, n = 122, 306","126, altmetric = 367 (GS, December 2021)]​",122
Social Psychology,Social comparison,No robust evidence for an interaction effect between body dissatisfaction and social comparison on fat talk,Who is most likely to fat talk? A social comparison perspective,Corning and Condoli 2012,https://doi.org/10.1016/j.bodyim.2012.05.004,10.1016/j.bodyim.2012.05.004,"correlational study, n = 143","61(GS, February 2022)]​",143
Social Psychology,Bystander effect,claims that the feeling of responsibility diffuses with an increasing number of other observers. Research about the bystander effect was sparked by the 1964 murder of Catherine “Kitty” Genovese. See this _[New York Times article](https://www.nytimes.com/1964/03/27/archives/37-who-saw-murder-didnt-call-the-police-apathy-at-stabbing-of.html)_ for details. Here’s a more detailed [resource](http://bps.stanford.edu/?page_id=3671,Bystander Interventions in Emergencies: Diffusion of Responsibility,Darley et al. 1968,https://web.archive.org/web/20170808145205id_/http://faculty.uncfsu.edu/tvancantfort/syllabi/gresearch/readings/a_darley.pdf,,"experiment, n = 59","4413 (GS, August 2022)",59
Social Psychology,Colour red on attractiveness,Viewing the colour red enhances men's attraction to women. In a lingua franca this effect may reflect the amorous meaning in the human mating game. ​,Romantic red: Red enhances mens attraction to women,Elliot and Niesta 2008,https://web.archive.org/web/20090419084901id_/http://www.psych.rochester.edu:80/faculty/elliot/documents/ElliotNiesta_RomanticRed.2008.pdf,,"experiment, N = 42","66 (GS, February 2022)]​",42
Social Psychology,Big brother effect,Being watched makes someone more likely to cooperate,Cues of being watched enhance co-operation in a real-world setting,Bateson et al. 2006,https://doi.org/10.1098/rsbl.2006.0509,10.1098/rsbl.2006.0509,"experiment, N=48","1604(GS, Dec 2021)]​",48
Social Psychology,Imagined Contact - _Bias_,"Imagined Contact**. Imagining social contact (instead of having actual contact) with someone from an outgroup (based on e.g., ethnicity, sexuality, religion, age) can reduce intergroup bias",Imagining intergroup contact can improve intergroup attitudes,Turner et al. 2007,https://journals.sagepub.com/doi/10.1177/1368430207081533,10.1177/1368430207081533,"three experiments, Study 1: N = 28, Study 2 = 24, Study 3 =27","633 (GS, October 2022)",28
Social Psychology,Imagined Contact -  _Intentions_,"Imagined Contact**. the claim that imagining social contact (instead of having actual contact) with someone from an outgroup (based on e.g., ethnicity, sexuality, religion, age) can increase **contact intentions",Elaboration enhances the imagined contact effect,Husnu and  Crisp 2010,"https://www.sciencedirect.com/science/article/abs/pii/S0022103110001307#:~:text=In%20three%20experiments%20imagined%20contact,vividness%20of%20the%20imagined%20scenario.",,"two experiments, Study 1:n = 33, Study 2: n = 60","278 (GS, October 2022",33 & 60
Social Psychology,Stereotype susceptibility effects,Awareness of stereotypes about a person’s in-group can affect a person’s behaviour and performance when they complete a stereotype-relevant task.​,Stereotype Susceptibility: Identity Salience and Shifts in Quantitative Performance,Shih et al. 1999,https://doi.org/10.1111/1467-9280.00111,10.1111/1467-9280.00111,"experiment, N = 46","1956(GS, Feb 2022)]​",46
Social Psychology,Positive mood-boost helping effect,People are more likely to do good when feeling good,Isen and Levin 1972,"experiment, Experiment 1: n = 52 male undergraduates, Experiment 2: n = 41 adults. [citations=1,881 (GS, October 2022",https://psycnet.apa.org/record/1972-22883-001,,,,
Social Psychology,Superiority-of-unconscious decision-making effect,"deliberation without attention effect). While conscious reflection produces better choices on simple tasks, complex choices “should be left to unconscious thought”.​",On Making the Right Choice: The Deliberation-Without-Attention Effect,Dijksterhuis et al. 2005,https://www.science.org/doi/abs/10.1126/science.1121629,10.1126/science.1121629,"Study 1: n = 80, Study 2: n = 59) that show better choices (and two surveys that show greater satisfaction, not focus here)","1807 (GS, October 2022",80 & 59
Social Psychology,Behavioural-consequences-of-automatic-evaluation,"Behavioural-consequences-of automatic-evaluation **(affective compatibility effect).** **Automatic classification of stimuli as either good or bad have direct behavioural consequences.​ Automatic evaluation results directly in behavioural predispositions toward the stimulus, such that positive evaluations produce immediate approach tendencies, and negative evaluations produce immediate avoidance tendencies",Consequences of Automatic Evaluation: Immediate Behavioral Predispositions to Approach or Avoid the Stimulus,Chen and Bargh 1979,https://journals.sagepub.com/doi/10.1177/0146167299025002007,10.1177/0146167299025002007,"two mixed design experiments, Study 1: n= 42, Study 2: n = 50","1943 (GS, October 2022)]​",42 & 50
Social Psychology,Self-control relies on glucose effect,"Acts of self-control decrease blood glucose levels; low levels of blood glucose predict poor performance on self-control tasks; initial acts of self-control impair performance on subsequent self-control tasks, but consuming a glucose drink eliminates these impairments",Self-control relies on glucose as a limited energy source: Willpower is more than a metaphor,Gailliot et al. 2007,https://psycnet.apa.org/record/2007-00654-010?casa_token=uHhPSwhkMtsAAAAA:eafeHREL_yQ7JDYcOianUpNX3EBgQ0DGcX4a5Eeew7Z8w-ZN7rKcQefGprxNHenNuEFULt161nV2QeECb-3i33dw,,9 experiments with: Study 1 (self-control decreases blood glucose): n= 103; Study 2 (self-control decreases blood glucose): n= 37; Study 3 (low levels of blood glucose predict poor performance on self-control tasks): n= 15; Study 4 (low levels of blood glucose predict poor performance on self-control tasks): n= 10; Study 5 (low levels of blood glucose predict poor performance on self-control tasks): n= 19; Study 6 (low levels of blood glucose predict poor performance on self-control tasks): n= 15; Study 7 (glucose consumption):  n= 61; Study 8 (glucose consumption): n= 72; Study 9 (glucose consumption): n= 17,"1956(GS, June, 2022)",103 & 37 & 15 & 10 & 19 & 15 & 61 & 72 & 17
Social Psychology,Physical warmth promotes interpersonal warmth,"Exposure to physical warmth will lead to more positive judgments of strangers and an increase in prosocial behaviour (e.g., gift-giving",Experiencing physical warmth promotes interpersonal warmth,Williams and Bargh 2008,https://www.science.org/doi/abs/10.1126/science.1162548,10.1126/science.1162548,"between-subjects experiments, n1=41, n2=53","1,894 (GS, October 2022)",
Social Psychology,Power impairs perspective-taking effect,Individuals made to feel high in power were more likely to inaccurately assume that others view the social world from the same perspective as they do,Power and Perspectives Not Taken,Galinsky et al. 2006,https://journals.sagepub.com/doi/full/10.1111/j.1467-9280.2006.01824.x,10.1111/j.1467-9280.2006.01824.x,"3 between-subjects experiments, each with two conditions, Experiment 1: n = 57, Experiment 2a: n = 42, Experiment 2b: n = 51, Experiment 3: n = 70","1550 (GS, June 2022)",57 & 42 & 51 & 70
Social Psychology,Status-legitimacy effect,"Members of low-status, disadvantaged, and marginalised groups are more likely to perceive their social systems as legitimate than their high-status and advantaged counterparts under certain circumstances. People who are most disadvantaged by the status quo, due to the greatest psychological need to reduce ideological dissonance, are most likely to support, defend, and justify existing social systems, authorities, and outcomes.​",Social inequality and the reduction of ideological dissonance on behalf of the system: evidence of enhanced system justification among the disadvantaged,Jost et al. 2003,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.127,10.1002/ejsp.127,"five cross-sectional / correlational studies, Study 1: n  = 1345, Study 2: = 2485, Study 3: = 1396, Study 4: n = 2223, Study 5: n = 788","927(GS, October 2022)]​",1345 & 2223 & 788
