publication_id,effect_id,use,description
32,18,replication," ](https://journals.sagepub.com/doi/pdf/10.1177/1745691615605826) [meta analysis (total n= 685 for perfective-aspect condition; n = 681 imperfective-aspect condition) of Study 3 citations = 70, (GS, January, 2022)]"
41,28,replication,NA
41,31,replication,NA
31,39,replication,"](https://doi.org/10.1177/1474704916673841) [n=830, citations=48 (GS, February 2022)]. ​"
41,50,replication," ](https://psycnet.apa.org/fulltext/2014-20922-002.html)[n = 6344, citations = 1082 (GS, June 2022)]"
41,54,replication,"](https://www.sciencedirect.com/science/article/pii/S0022103115300123) [n = 3,119, citations = 438 (GS, June 2022)]"
40,58,replication,"(https://doi.org/10.1525/collabra.310) [n(Restaurant item)= 69 (Study 1) + 125 (Study 2) + 422 (Study 3) = 616, citations=11(Google Scholar, August, 2022)]."
41,70,replication,NA
41,73,replication,NA
41,75,replication,NA
8,76,replication,"(https://doi.org/10.1073/pnas.2103313118) [n=304, citations=0(GS, November 2021)]."
8,77,replication,"(https://doi.org/10.1073/pnas.2103313118) [n=993, citations=0(GS, November 2021)]"
8,78,replication,"(https://doi.org/10.1073/pnas.2103313118) [n=603, citations=0(GS, November 2021)]"
8,79,replication,"(https://doi.org/10.1073/pnas.2103313118) [n=339, citations=0(GS, November 2021)]"
8,80,replication,"(https://doi.org/10.1073/pnas.2103313118) [n=132, citations=0(GS, November 2021)]"
8,81,replication,"(https://doi.org/10.1073/pnas.2103313118) [n=229, citations=0(GS, November 2021)]"
8,82,replication,"(https://doi.org/10.1073/pnas.2103313118) [n=1564, citations=0(GS, November 2021)]"
8,83,replication,"(https://doi.org/10.1073/pnas.2103313118) [n=1334, citations=0(GS, November 2021)]"
8,84,replication,"(https://doi.org/10.1073/pnas.2103313118) [n=209, citations=0(GS, November 2021)]"
41,95,replication,"](https://scholar.google.de/citations?view_op=view_citation&hl=en&user=Z48bDfcAAAAJ&citation_for_view=Z48bDfcAAAAJ:2osOgNQ5qMEC) [n=6799, citations = 27(GS, June 2022), meta-analysis]. ​"
41,96,replication,"(https://www.cambridge.org/core/journals/the-british-journal-of-psychiatry/article/handedness-language-lateralisation-and-anatomical-asymmetry-in-schizophrenia/BDC270AEC0189932993F7F9917CCEAFA)) [n=5467, citations=536(GS, June 2022), meta-analysis]."
41,108,replication,"](https://online.ucpress.edu/collabra/article/8/1/32572/120262/Rewarding-More-Is- Better-for-Soliciting-Help-Yet) [n=2203 (study 1) and 999 (study 2), citations=1(Google Scholar, June 2022)]. While Imada et al. (2022) replicated the original finding that people expect others to be more willing to help when they are offered medium amount of cash compared to small amount of cash. However, while Heyman and Ariely (2004) found no significant difference in expected willingness help between those who are offered low amount of goods and medium amount of goods, Imada et al. (2022) found that people expect others to be more willing to help when they are offered with medium amount of goods compared to small amount of goods. Yet, the effect size (medium vs. small) for money was much larger than that for goods, and their replications overall supported the original claim that the sensitivity to compensation level differs depending on money vs. social market relationships."
41,118,replication,NA
41,126,replication,"](https://psyarxiv.com/fm7aj/) [Preprint] [direct replication of study 1 of Dubois et al. (2012); N= 415, citations=1 (GS, January 2022)]."
8,127,replication,"(https://doi.org/10.1073/pnas.2103313118)) [n=507, citations=0(GS, November 2021)]"
8,128,replication,"](https://doi.org/10.1073/pnas.2103313118) [n=573, citations=0(GS, November 2021)]"
8,129,replication,"(https://doi.org/10.1073/pnas.2103313118) [n=225, citations=0(GS, November 2021)]"
8,130,replication,"(https://doi.org/10.1073/pnas.2103313118) [n=389, citations=0(GS, November 2021)]"
8,131,replication,"(https://doi.org/10.1073/pnas.2103313118) [n=401, citations=0(GS, November 2021)]"
8,132,replication,"(https://doi.org/10.1073/pnas.2103313118) [n=225, citations=0(GS, November 2021)]"
8,133,replication,"(https://doi.org/10.1073/pnas.2103313118) [n=467, citations=0(GS, November 2021)]"
8,134,replication,"(https://doi.org/10.1073/pnas.2103313118) [n=414, citations=0(GS, November 2021)]"
8,135,replication,"(https://doi.org/10.1073/pnas.2103313118) [n=688, citations=0(GS, November 2021)]"
8,136,replication,"](https://doi.org/10.1073/pnas.2103313118)[n=595, citations=0(GS, November 2021)]"
41,139,replication,NA
4,140,replication,"](https://doi.org/10.1016/j.cortex.2014.11.019) [n = 36, citations = 196 (GS, May, 2022]."
4,141,replication,"](https://doi.org/10.1016/j.cortex.2014.11.019) [n = 35, citations = 196 (GS, May, 2022]."
41,142,replication,NA
41,144,replication,"](https://psycnet.apa.org/fulltext/2019-75285-001.html) [Review; citations=65 (GS, April 2022)]"
41,148,replication,NA
41,158,replication,"Azevedo et al. [Preprint, not available] [n=1502, citations=NA]. 
],"
