title,year,authors,authors_string,doi,url,publication,pages,volume,issue,citation_count_CR,citation_count_entered,parsed,citations,citation,reference,use,publication_id,entry
Stereotype Susceptibility: Identity Salience and Shifts in Quantitative Performance.,1999,,"Shih, Margaret and Pittinsky, Todd L. and Ambady, Nalini",10.1111/1467-9280.00111,http://dx.doi.org/10.1111/1467-9280.00111,Psychological Science,80-83,10,1,740,NA,NA,NA,Shih et al. (1999),"Shih, M., Pittinsky, T. L., Ambady, N. (1999). Stereotype Susceptibility: Identity Salience and Shifts in Quantitative Performance.. Psychological Science, 10(1). https://doi.org/10.1111/1467-9280.00111",original,21,"[‘Domain-specific Effects of Stereotypes on Performance’](https://journals.sagepub.com/doi/10.1111/1467-9280.00111), Shih et al.1999"
Effort for Payment.A Tale of Two Markets,2004,,"Heyman, James and Ariely, Dan",10.1111/j.0956-7976.2004.00757.x,http://dx.doi.org/10.1111/j.0956-7976.2004.00757.x,Psychological Science,787-793,15,11,537,NA,NA,NA,Heyman & Ariely (2004),"Heyman, J., Ariely, D. (2004). Effort for Payment.A Tale of Two Markets. Psychological Science, 15(11). https://doi.org/10.1111/j.0956-7976.2004.00757.x",original,22,"[‘Effort for Payment: A Tale of Two Markets’](https://doi.org/10.1111/j.0956-7976.2004.00757.x), Heyman and Ariely (2004); sample size = 614 (Experiment 1). [citations=1261(Google Scholar, June 2022)]​"
God Is Watching You.Priming God Concepts Increases Prosocial Behavior in an Anonymous Economic Game,2007,,"Shariff, Azim F. and Norenzayan, Ara",10.1111/j.1467-9280.2007.01983.x,http://dx.doi.org/10.1111/j.1467-9280.2007.01983.x,Psychological Science,803-809,18,9,668,"citations=1473, GS, November 2021",NA,NA,Shariff & Norenzayan (2007),"Shariff, A. F., Norenzayan, A. (2007). God Is Watching You.Priming God Concepts Increases Prosocial Behavior in an Anonymous Economic Game. Psychological Science, 18(9). https://doi.org/10.1111/j.1467-9280.2007.01983.x",original,23,"‘[God is watching you: Priming god concepts increases prosocial behavior in an anonymous economic game](https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2007.01983.x)’, Shariff and Norenzayan (2007); 2 experiments, ns=50 in each experiment [citations=1473, GS, November 2021]."
"Creating Social Connection Through Inferential Reproduction.Loneliness and Perceived Agency in Gadgets, Gods, and Greyhounds",2008,,"Epley, Nicholas and Akalis, Scott and Waytz, Adam and Cacioppo, John T.",10.1111/j.1467-9280.2008.02056.x,http://dx.doi.org/10.1111/j.1467-9280.2008.02056.x,Psychological Science,114-120,19,2,353,NA,NA,NA,Epley et al. (2008),"Epley, N., Akalis, S., Waytz, A., Cacioppo, J. T. (2008). Creating Social Connection Through Inferential Reproduction.Loneliness and Perceived Agency in Gadgets, Gods, and Greyhounds. Psychological Science, 19(2). https://doi.org/10.1111/j.1467-9280.2008.02056.x",original,24,"[Creating Social Connection Through Inferential Reproduction: Loneliness and Perceived Agency in Gadgets, Gods, and Greyhounds](https://journals.sagepub.com/doi/full/10.1111/j.1467-9280.2008.02056.x?casa_token=wB20P1GmttgAAAAA%3AxfhrS3yxTMyXdT6JCYs-dfwEmcJZ01bNYn_KP3PxW2a2YOQcIfqT6FSAItyLQEFUSBenEvvElA1n) Epley et al. (2008), [n=20 for experiment 1, n=99 for experiment 2, n =57 for experiment 3; ~[722](https://scholar.google.com/scholar?cites=16612236606641696729&as_sdt=2005&sciodt=0,5&hl=en) citations, (GS, March 2022)]"
"Effects of Fluency on Psychological Distance and Mental Construal (or Why New York Is a Large City, but <i>New York</i> Is a Civilized Jungle).",2008,,"Alter, Adam L. and Oppenheimer, Daniel M.",10.1111/j.1467-9280.2008.02062.x,http://dx.doi.org/10.1111/j.1467-9280.2008.02062.x,Psychological Science,161-167,19,2,147,"citations = 304 (GS, October 2021)",NA,NA,Alter & Oppenheimer (2008),"Alter, A. L., Oppenheimer, D. M. (2008). Effects of Fluency on Psychological Distance and Mental Construal (or Why New York Is a Large City, but <i>New York</i> Is a Civilized Jungle).. Psychological Science, 19(2). https://doi.org/10.1111/j.1467-9280.2008.02062.x",original,25,"[Effects of Fluency on Psychological Distance and Mental Construal (or Why New York Is a Large City, but New York Is a Civilized Jungle)](https://journals.sagepub.com/doi/10.1111/j.1467-9280.2008.02062.x) Alter and Oppenheimer 2008; 3 studies, 2 of which are split into Part A and Part B with n’s = 1A: 40 and 1B: 196 ; 2A: 32 and 2B: 230; Experiment 3: 70 [citations = 304 (GS, October 2021)]."
Some Consequences of Having Too Little.,2012,,"Shah, Anuj K. and Mullainathan, Sendhil and Shafir, Eldar",10.1126/science.1222426,http://dx.doi.org/10.1126/science.1222426,Science,682-685,338,6107,718,"citations=1403 (GS, April 2022)",NA,NA,Shah et al. (2012),"Shah, A. K., Mullainathan, S., Shafir, E. (2012). Some Consequences of Having Too Little.. Science, 338(6107). https://doi.org/10.1126/science.1222426",original,26,"‘[Some consequences of having too little](https://doi.org/10.1126/science.1222426)’, Shah et al. (2012); 5 experiments with Study 1: n=60; Study 2: n=68; Study 3: n=143; Study 4: n=118; Study 5: n=137 [citations=1403 (GS, April 2022)]."
Poverty Impedes Cognitive Function.,2013,,"Mani, Anandi and Mullainathan, Sendhil and Shafir, Eldar and Zhao, Jiaying",10.1126/science.1238041,http://dx.doi.org/10.1126/science.1238041,Science,976-980,341,6149,1311,NA,NA,NA,Mani et al. (2013),"Mani, A., Mullainathan, S., Shafir, E., Zhao, J. (2013). Poverty Impedes Cognitive Function.. Science, 341(6149). https://doi.org/10.1126/science.1238041",original,27,"‘[Poverty impedes cognitive function’](https://doi.org/10.1126/science.1238041), Mani et al. (2013) Study 4, with n=96. [citation=2332(GS, November 2021)]​."
Learning About What Others Were Doing.Verb Aspect and Attributions of Mundane and Criminal Intent for Past Actions,2010,,"Hart, William and Albarracín, Dolores",10.1177/0956797610395393,http://dx.doi.org/10.1177/0956797610395393,Psychological Science,261-266,22,2,17,"citations = 37, (GS, January 2022)",NA,NA,Hart & Albarracín (2010),"Hart, W., Albarracín, D. (2010). Learning About What Others Were Doing.Verb Aspect and Attributions of Mundane and Criminal Intent for Past Actions. Psychological Science, 22(2). https://doi.org/10.1177/0956797610395393",original,28,"‘[Learning about what others were doing: Verb aspect and attributions of mundane and criminal intent for past actions](https://journals.sagepub.com/doi/full/10.1177/0956797610395393)’, Hart and Albarracin (2011): 3 experiments with Study 1: n = 5458; Study 2: n = 37; Study 3: n = 48. [citations = 37, (GS, January 2022)]."
Scarcity Frames Value.,2015,,"Shah, Anuj K. and Shafir, Eldar and Mullainathan, Sendhil",10.1177/0956797614563958,http://dx.doi.org/10.1177/0956797614563958,Psychological Science,402-412,26,4,192,NA,NA,NA,Shah et al. (2015),"Shah, A. K., Shafir, E., Mullainathan, S. (2015). Scarcity Frames Value.. Psychological Science, 26(4). https://doi.org/10.1177/0956797614563958",original,29,"‘[Scarcity frames value](https://doi.org/10.1177/0956797614563958)’, Shah et al. (2015) with n=73. [citation=315(GS, November 2021)]​."
Economic Insecurity Increases Physical Pain.,2016,,"Chou, Eileen Y. and Parmar, Bidhan L. and Galinsky, Adam D.",10.1177/0956797615625640,http://dx.doi.org/10.1177/0956797615625640,Psychological Science,443-454,27,4,63,NA,NA,NA,Chou et al. (2016),"Chou, E. Y., Parmar, B. L., Galinsky, A. D. (2016). Economic Insecurity Increases Physical Pain.. Psychological Science, 27(4). https://doi.org/10.1177/0956797615625640",original,30,"‘[Economic insecurity increases physical pain](https://doi.org/10.1177/0956797615625640)’, Chou et al. (2016 ) Study 3, with n=231. [citation=103(GS, November 2021)]​."
Revisiting the Red Effect on Attractiveness and Sexual Receptivity.No Effect of the Color Red on Human Mate Preferences,2016,,"Peperkoorn, Leonard S. and Roberts, S. Craig and Pollet, Thomas V.",10.1177/1474704916673841,http://dx.doi.org/10.1177/1474704916673841,Evolutionary Psychology,147470491667384,14,4,26,NA,NA,NA,Peperkoorn et al. (2016),"Peperkoorn, L. S., Roberts, S. C., Pollet, T. V. (2016). Revisiting the Red Effect on Attractiveness and Sexual Receptivity.No Effect of the Color Red on Human Mate Preferences. Evolutionary Psychology, 14(4). https://doi.org/10.1177/1474704916673841",replication,31,"[Peperkoorn et al. (2016)](https://doi.org/10.1177/1474704916673841) [n=830, citations=48 (GS, February 2022)]. ​"
Registered Replication Report.Hart &amp; Albarracín (2011),2016,,"Eerland, A. and Sherrill, A. M. and Magliano, J. P. and Zwaan, R. A. and Arnal, J. D. and Aucoin, P. and Berger, S. A. and Birt, A. R. and Capezza, N. and Carlucci, M. and Crocker, C. and Ferretti, T. R. and Kibbe, M. R. and Knepp, M. M. and Kurby, C. A. and Melcher, J. M. and Michael, S. W. and Poirier, C. and Prenoveau, J. M.",10.1177/1745691615605826,http://dx.doi.org/10.1177/1745691615605826,Perspectives on Psychological Science,158-171,11,1,30,NA,NA,NA,Eerland et al. (2016),"Eerland, A., Sherrill, A. M., Magliano, J. P., Zwaan, R. A., Arnal, J. D., Aucoin, P., Berger, S. A., Birt, A. R., Capezza, N., Carlucci, M., Crocker, C., Ferretti, T. R., Kibbe, M. R., Knepp, M. M., Kurby, C. A., Melcher, J. M., Michael, S. W., Poirier, C., Prenoveau, J. M. (2016). Registered Replication Report.Hart &amp; Albarracín (2011). Perspectives On Psychological Science, 11(1). https://doi.org/10.1177/1745691615605826",replication,32,"[Eerland et al. (2016) ](https://journals.sagepub.com/doi/pdf/10.1177/1745691615605826) [meta analysis (total n= 685 for perfective-aspect condition; n = 681 imperfective-aspect condition) of Study 3 citations = 70, (GS, January, 2022)]"
"Registered Replication Report.Study 1 From Finkel, Rusbult, Kumashiro, &amp; Hannon (2002)",2016,,"Cheung, I. and Campbell, L. and LeBel, E. P. and Ackerman, R. A. and Aykutoğlu, B. and Bahník, Š. and Bowen, J. D. and Bredow, C. A. and Bromberg, C. and Caprariello, P. A. and Carcedo, R. J. and Carson, K. J. and Cobb, R. J. and Collins, N. L. and Corretti, C. A. and DiDonato, T. E. and Ellithorpe, C. and Fernández-Rouco, N. and Fuglestad, P. T. and Goldberg, R. M. and Golom, F. D. and Gündoğdu-Aktürk, E. and Hoplock, L. B. and Houdek, P. and Kane, H. S. and Kim, J. S. and Kraus, S. and Leone, C. T. and Li, N. P. and Logan, J. M. and Millman, R. D. and Morry, M. M. and Pink, J. C. and Ritchey, T. and Root Luna, L. M. and Sinclair, H. C. and Stinson, D. A. and Sucharyna, T. A. and Tidwell, N. D. and Uysal, A. and Vranka, M. and Winczewski, L. A. and Yong, J. C.",10.1177/1745691616664694,http://dx.doi.org/10.1177/1745691616664694,Perspectives on Psychological Science,750-764,11,5,29,NA,NA,NA,Cheung et al. (2016),"Cheung, I., Campbell, L., LeBel, E. P., Ackerman, R. A., Aykutoğlu, B., Bahník, Š., Bowen, J. D., Bredow, C. A., Bromberg, C., Caprariello, P. A., Carcedo, R. J., Carson, K. J., Cobb, R. J., Collins, N. L., Corretti, C. A., DiDonato, T. E., Ellithorpe, C., Fernández-Rouco, N., Fuglestad, P. T., Goldberg, R. M., Golom, F. D., Gündoğdu-Aktürk, E., Hoplock, L. B., Houdek, P., Kane, H. S., Kim, J. S., Kraus, S., Leone, C. T., Li, N. P., Logan, J. M., Millman, R. D., Morry, M. M., Pink, J. C., Ritchey, T., Root Luna, L. M., Sinclair, H. C., Stinson, D. A., Sucharyna, T. A., Tidwell, N. D., Uysal, A., Vranka, M., Winczewski, L. A., Yong, J. C. (2016). Registered Replication Report.Study 1 From Finkel, Rusbult, Kumashiro, &amp; Hannon (2002). Perspectives On Psychological Science, 11(5). https://doi.org/10.1177/1745691616664694",replication,33,"[Cheung et al. 2016](https://journals.sagepub.com/doi/pdf/10.1177/1745691616664694) [n = 2284, citations = 110(GS, November 2021)]."
